alpha-1-B glycoprotein	A1BG
ferritin heavy chain 1 pseudogene 13	FTH1P13
ferritin heavy chain 1 pseudogene 14	FTH1P14
ferritin heavy chain 1 pseudogene 15	FTH1P15
ferritin heavy chain 1 pseudogene 16	FTH1P16
ferritin heavy chain 1 pseudogene 18	FTH1P18
ferritin heavy chain 1 pseudogene 19	FTH1P19
ferritin heavy chain 1 pseudogene 20	FTH1P20
ferritin heavy chain 1 pseudogene 21	FTH1P21
ferritin heavy chain 1 pseudogene 22	FTH1P22
ferritin heavy chain 1 pseudogene 23	FTH1P23
ferritin heavy chain 1 pseudogene 24	FTH1P24
ferritin heavy chain 1 pseudogene 25	FTH1P25
ferritin heavy chain 1 pseudogene 26	FTH1P26
ferritin heavy chain 1 pseudogene 27	FTH1P27
ferritin heavy chain like 17	FTHL17
ferritin light chain	FTL
ferritin light chain pseudogene 1	FTLP1
ferritin light chain pseudogene 2	FTLP2
ferritin light chain pseudogene 3	FTLP3
ferritin light chain pseudogene 4	FTLP4
ferritin light chain pseudogene 5	FTLP5
ferritin light chain pseudogene 6	FTLP6
ferritin light chain pseudogene 7	FTLP7
ferritin light chain pseudogene 8	FTLP8
ferritin light chain pseudogene 9	FTLP9
ferritin light chain pseudogene 10	FTLP10
ferritin light chain pseudogene 11	FTLP11
ferritin light chain pseudogene 12	FTLP12
ferritin light chain pseudogene 13	FTLP13
ferritin light chain pseudogene 14	FTLP14
ferritin light chain pseudogene 15	FTLP15
ferritin light chain pseudogene 16	FTLP16
ferritin light chain pseudogene 17	FTLP17
ferritin light chain pseudogene 18	FTLP18
ferritin light chain pseudogene 19	FTLP19
ferritin mitochondrial	FTMT
FTO alpha-ketoglutarate dependent dioxygenase	FTO
FTO intronic transcript 1	FTO-IT1
FTO pseudogene 1	FTOP1
FtsJ RNA 2'-O-methyltransferase 1	FTSJ1
FtsJ RNA 2'-O-methyltransferase 3	FTSJ3
FTX transcript, XIST regulator	FTX
far upstream element binding protein 1	FUBP1
far upstream element binding protein 3	FUBP3
alpha-L-fucosidase 1	FUCA1
alpha-L-fucosidase 1 pseudogene 1	FUCA1P1
alpha-L-fucosidase 2	FUCA2
FUN14 domain containing 1	FUNDC1
FUN14 domain containing 2	FUNDC2
FUN14 domain containing 2 pseudogene 1	FUNDC2P1
FUN14 domain containing 2 pseudogene 2	FUNDC2P2
FUN14 domain containing 2 pseudogene 3	FUNDC2P3
FUN14 domain containing 2 pseudogene 4	FUNDC2P4
fucose mutarotase	FUOM
furin, paired basic amino acid cleaving enzyme	FURIN
FUS RNA binding protein	FUS
polykaryocytosis promoter	FUSE
fucosyltransferase 1 (H blood group)	FUT1
fucosyltransferase 2	FUT2
fucosyltransferase 3 (Lewis blood group)	FUT3
fucosyltransferase 4	FUT4
fucosyltransferase 5	FUT5
fucosyltransferase 6	FUT6
fucosyltransferase 7	FUT7
fucosyltransferase 8	FUT8
FUT8 antisense RNA 1	FUT8-AS1
fucosyltransferase 9	FUT9
fucosyltransferase 10	FUT10
fucosyltransferase 11	FUT11
fuzzy planar cell polarity protein	FUZ
frataxin	FXN
frataxin pseudogene 1	FXNP1
frataxin pseuodgene 2	FXNP2
FMR1 autosomal homolog 1	FXR1
FMR1 autosomal homolog 2	FXR2
FXYD domain containing ion transport regulator 1	FXYD1
FXYD domain containing ion transport regulator 2	FXYD2
FXYD domain containing ion transport regulator 3	FXYD3
FXYD domain containing ion transport regulator 4	FXYD4
FXYD domain containing ion transport regulator 5	FXYD5
FXYD domain containing ion transport regulator 6	FXYD6
FXYD6-FXYD2 readthrough	FXYD6-FXYD2
FXYD domain containing ion transport regulator 6 pseudogene 1	FXYD6P1
FXYD domain containing ion transport regulator 6 pseudogene 2	FXYD6P2
FXYD domain containing ion transport regulator 6 pseudogene 3	FXYD6P3
FXYD domain containing ion transport regulator 7	FXYD7
FYN binding protein 1	FYB1
FYN binding protein 2	FYB2
FYVE and coiled-coil domain containing 1	FYCO1
FYN proto-oncogene, Src family tyrosine kinase	FYN
forty-two-three domain containing 1	FYTTD1
forty-two-three domain containing 1 pseudogene 1	FYTTD1P1
frizzled class receptor 1	FZD1
frizzled class receptor 2	FZD2
frizzled class receptor 3	FZD3
frizzled class receptor 4	FZD4
frizzled class receptor 5	FZD5
frizzled class receptor 6	FZD6
frizzled class receptor 7	FZD7
frizzled class receptor 8	FZD8
frizzled class receptor 9	FZD9
frizzled class receptor 10	FZD10
FZD10 antisense divergent transcript	FZD10-AS1
fizzy and cell division cycle 20 related 1	FZR1
G2/M-phase specific E3 ubiquitin protein ligase	G2E3
G2E3 antisense RNA 1	G2E3-AS1
G3BP stress granule assembly factor 1	G3BP1
G3BP stress granule assembly factor 2	G3BP2
glucose-6-phosphatase catalytic subunit	G6PC
glucose-6-phosphatase catalytic subunit 2	G6PC2
glucose-6-phosphatase catalytic subunit 3	G6PC3
glucose-6-phosphate dehydrogenase	G6PD
glucose-6-phosphatase regulator	G6PR
glucosidase alpha, acid	GAA
GRB2 associated binding protein 1	GAB1
GRB2 associated binding protein 2	GAB2
GRB2 associated binding protein 3	GAB3
GRB2 associated binding protein family member 4	GAB4
GABA type A receptor-associated protein	GABARAP
GABA type A receptor associated protein like 1	GABARAPL1
GABA type A receptor associated protein like 2	GABARAPL2
GABA type A receptor associated protein like 3 pseudogene	GABARAPL3
gamma-aminobutyric acid type B receptor subunit 1	GABBR1
gamma-aminobutyric acid type B receptor subunit 2	GABBR2
GA binding protein transcription factor subunit alpha	GABPA
GABPA pseudogene	GABPAP
GA binding protein transcription factor subunit beta 1	GABPB1
GABPB1 antisense RNA 1	GABPB1-AS1
GABPB1 intronic transcript	GABPB1-IT1
GA binding protein transcription factor subunit beta 2	GABPB2
gamma-aminobutyric acid type A receptor alpha1 subunit	GABRA1
gamma-aminobutyric acid type A receptor alpha2 subunit	GABRA2
gamma-aminobutyric acid type A receptor alpha3 subunit	GABRA3
gamma-aminobutyric acid type A receptor alpha4 subunit	GABRA4
gamma-aminobutyric acid type A receptor alpha5 subunit	GABRA5
gamma-aminobutyric acid type A receptor alpha6 subunit	GABRA6
gamma-aminobutyric acid type A receptor beta1 subunit	GABRB1
gamma-aminobutyric acid type A receptor beta2 subunit	GABRB2
gamma-aminobutyric acid type A receptor beta3 subunit	GABRB3
gamma-aminobutyric acid type A receptor delta subunit	GABRD
gamma-aminobutyric acid type A receptor epsilon subunit	GABRE
gamma-aminobutyric acid type A receptor gamma1 subunit	GABRG1
gamma-aminobutyric acid type A receptor gamma2 subunit	GABRG2
gamma-aminobutyric acid type A receptor gamma3 subunit	GABRG3
GABRG3 antisense RNA 1	GABRG3-AS1
gamma-aminobutyric acid type A receptor pi subunit	GABRP
gamma-aminobutyric acid type A receptor theta subunit	GABRQ
gamma-aminobutyric acid type A receptor rho1 subunit	GABRR1
gamma-aminobutyric acid type A receptor rho2 subunit	GABRR2
gamma-aminobutyric acid type A receptor rho3 subunit (gene/pseudogene)	GABRR3
gastric cancer associated transcript 1	GACAT1
gastric cancer associated transcript 2	GACAT2
gastric cancer associated transcript 3	GACAT3
glutamate decarboxylase 1	GAD1
glutamate decarboxylase 2	GAD2
growth arrest and DNA damage inducible alpha	GADD45A
growth arrest and DNA damage inducible alpha pseudogene 1	GADD45AP1
growth arrest and DNA damage inducible beta	GADD45B
growth arrest and DNA damage inducible gamma	GADD45G
GADD45G interacting protein 1	GADD45GIP1
glutamate decarboxylase like 1	GADL1
G antigen 1	GAGE1
G antigen 2A	GAGE2A
G antigen 2B	GAGE2B
G antigen 2C	GAGE2C
G antigen 2D	GAGE2D
G antigen 2E	GAGE2E
G antigen 4	GAGE4
G antigen 5	GAGE5
G antigen 6	GAGE6
G antigen 7	GAGE7
G antigen 8	GAGE8
G antigen 10	GAGE10
G antigen 12B	GAGE12B
G antigen 12C	GAGE12C
G antigen 12D	GAGE12D
G antigen 12E	GAGE12E
G antigen 12F	GAGE12F
G antigen 12G	GAGE12G
G antigen 12H	GAGE12H
G antigen 12I	GAGE12I
G antigen 12J	GAGE12J
G antigen 13	GAGE13
cyclin G associated kinase	GAK
galanin and GMAP prepropeptide	GAL
galactose-3-O-sulfotransferase 1	GAL3ST1
galactose-3-O-sulfotransferase 2	GAL3ST2
galactose-3-O-sulfotransferase 3	GAL3ST3
galactose-3-O-sulfotransferase 4	GAL3ST4
galactosylceramidase	GALC
UDP-galactose-4-epimerase	GALE
galactokinase 1	GALK1
galactokinase 2	GALK2
galactose mutarotase	GALM
galactosamine (N-acetyl)-6-sulfatase	GALNS
polypeptide N-acetylgalactosaminyltransferase 1	GALNT1
polypeptide N-acetylgalactosaminyltransferase 2	GALNT2
polypeptide N-acetylgalactosaminyltransferase 3	GALNT3
polypeptide N-acetylgalactosaminyltransferase 4	GALNT4
polypeptide N-acetylgalactosaminyltransferase 5	GALNT5
polypeptide N-acetylgalactosaminyltransferase 6	GALNT6
polypeptide N-acetylgalactosaminyltransferase 7	GALNT7
polypeptide N-acetylgalactosaminyltransferase 8	GALNT8
polypeptide N-acetylgalactosaminyltransferase 9	GALNT9
polypeptide N-acetylgalactosaminyltransferase 10	GALNT10
polypeptide N-acetylgalactosaminyltransferase 11	GALNT11
polypeptide N-acetylgalactosaminyltransferase 12	GALNT12
polypeptide N-acetylgalactosaminyltransferase 13	GALNT13
polypeptide N-acetylgalactosaminyltransferase 14	GALNT14
polypeptide N-acetylgalactosaminyltransferase 15	GALNT15
polypeptide N-acetylgalactosaminyltransferase 16	GALNT16
polypeptide N-acetylgalactosaminyltransferase 17	GALNT17
polypeptide N-acetylgalactosaminyltransferase 18	GALNT18
polypeptide N-acetylgalactosaminyltransferase like 5	GALNTL5
polypeptide N-acetylgalactosaminyltransferase like 6	GALNTL6
GALNTL6 antisense RNA 1	GALNTL6-AS1
galanin like peptide	GALP
galanin receptor 1	GALR1
galanin receptor 2	GALR2
galanin receptor 3	GALR3
galactose-1-phosphate uridylyltransferase	GALT
guanidinoacetate N-methyltransferase	GAMT
guanidinoacetate N-methyltransferase pseudogene 1	GAMTP1
guanidinoacetate N-methyltransferase pseudogene 2	GAMTP2
gigaxonin	GAN
glucosidase II alpha subunit	GANAB
glucosidase alpha, neutral C	GANC
growth associated protein 43	GAP43
glyceraldehyde-3-phosphate dehydrogenase	GAPDH
glyceraldehyde-3-phosphate dehydrogenase pseudogene 1	GAPDHP1
glyceraldehyde-3-phosphate dehydrogenase pseudogene 2	GAPDHP2
glyceraldehyde-3-phosphate dehydrogenase pseudogene 14	GAPDHP14
glyceraldehyde-3-phosphate dehydrogenase pseudogene 15	GAPDHP15
glyceraldehyde-3-phosphate dehydrogenase pseudogene 16	GAPDHP16
glyceraldehyde-3-phosphate dehydrogenase pseudogene 17	GAPDHP17
glyceraldehyde 3 phosphate dehydrogenase pseudogene 19	GAPDHP19
glyceraldehyde 3 phosphate dehydrogenase pseudogene 20	GAPDHP20
glyceraldehyde 3 phosphate dehydrogenase pseudogene 21	GAPDHP21
glyceraldehyde 3 phosphate dehydrogenase pseudogene 22	GAPDHP22
glyceraldehyde 3 phosphate dehydrogenase pseudogene 23	GAPDHP23
glyceraldehyde 3 phosphate dehydrogenase pseudogene 24	GAPDHP24
glyceraldehyde 3 phosphate dehydrogenase pseudogene 25	GAPDHP25
glyceraldehyde 3 phosphate dehydrogenase pseudogene 26	GAPDHP26
glyceraldehyde 3 phosphate dehydrogenase pseudogene 27	GAPDHP27
glyceraldehyde 3 phosphate dehydrogenase pseudogene 28	GAPDHP28
glyceraldehyde 3 phosphate dehydrogenase pseudogene 29	GAPDHP29
glyceraldehyde 3 phosphate dehydrogenase pseudogene 30	GAPDHP30
glyceraldehyde 3 phosphate dehydrogenase pseudogene 31	GAPDHP31
glyceraldehyde 3 phosphate dehydrogenase pseudogene 32	GAPDHP32
glyceraldehyde 3 phosphate dehydrogenase pseudogene 33	GAPDHP33
glyceraldehyde 3 phosphate dehydrogenase pseudogene 34	GAPDHP34
glyceraldehyde 3 phosphate dehydrogenase pseudogene 35	GAPDHP35
glyceraldehyde 3 phosphate dehydrogenase pseudogene 36	GAPDHP36
glyceraldehyde 3 phosphate dehydrogenase pseudogene 37	GAPDHP37
glyceraldehyde 3 phosphate dehydrogenase pseudogene 38	GAPDHP38
glyceraldehyde 3 phosphate dehydrogenase pseudogene 39	GAPDHP39
glyceraldehyde 3 phosphate dehydrogenase pseudogene 40	GAPDHP40
glyceraldehyde 3 phosphate dehydrogenase pseudogene 41	GAPDHP41
glyceraldehyde 3 phosphate dehydrogenase pseudogene 42	GAPDHP42
glyceraldehyde 3 phosphate dehydrogenase pseudogene 43	GAPDHP43
glyceraldehyde 3 phosphate dehydrogenase pseudogene 44	GAPDHP44
glyceraldehyde 3 phosphate dehydrogenase pseudogene 45	GAPDHP45
glyceraldehyde 3 phosphate dehydrogenase pseudogene 46	GAPDHP46
glyceraldehyde 3 phosphate dehydrogenase pseudogene 47	GAPDHP47
glyceraldehyde 3 phosphate dehydrogenase pseudogene 48	GAPDHP48
glyceraldehyde 3 phosphate dehydrogenase pseudogene 49	GAPDHP49
glyceraldehyde 3 phosphate dehydrogenase pseudogene 50	GAPDHP50
glyceraldehyde 3 phosphate dehydrogenase pseudogene 51	GAPDHP51
glyceraldehyde 3 phosphate dehydrogenase pseudogene 52	GAPDHP52
glyceraldehyde 3 phosphate dehydrogenase pseudogene 53	GAPDHP53
glyceraldehyde 3 phosphate dehydrogenase pseudogene 54	GAPDHP54
glyceraldehyde 3 phosphate dehydrogenase pseudogene 55	GAPDHP55
glyceraldehyde 3 phosphate dehydrogenase pseudogene 56	GAPDHP56
glyceraldehyde 3 phosphate dehydrogenase pseudogene 57	GAPDHP57
glyceraldehyde 3 phosphate dehydrogenase pseudogene 58	GAPDHP58
glyceraldehyde-3-phosphate dehydrogenase pseudogene 59	GAPDHP59
glyceraldehyde-3-phosphate dehydrogenase pseudogene 60	GAPDHP60
glyceraldehyde 3 phosphate dehydrogenase pseudogene 61	GAPDHP61
glyceraldehyde 3 phosphate dehydrogenase pseudogene 62	GAPDHP62
glyceraldehyde 3 phosphate dehydrogenase pseudogene 63	GAPDHP63
glyceraldehyde-3-phosphate dehydrogenase pseudogene 64	GAPDHP64
glyceraldehyde 3 phosphate dehydrogenase pseudogene 65	GAPDHP65
glyceraldehyde-3-phosphate dehydrogenase pseudogene 66	GAPDHP66
glyceraldehyde 3 phosphate dehydrogenase pseudogene 67	GAPDHP67
glyceraldehyde 3 phosphate dehydrogenase pseudogene 68	GAPDHP68
glyceraldehyde 3 phosphate dehydrogenase pseudogene 69	GAPDHP69
glyceraldehyde 3 phosphate dehydrogenase pseudogene 70	GAPDHP70
glyceraldehyde-3-phosphate dehydrogenase pseudogene 71	GAPDHP71
glyceraldehyde-3-phosphate dehydrogenase pseudogene 72	GAPDHP72
glyceraldehyde-3-phosphate dehydrogenase pseudogene 73	GAPDHP73
glyceraldehyde-3-phosphate dehydrogenase pseudogene 74	GAPDHP74
glyceraldehyde-3-phosphate dehydrogenase pseudogene 75	GAPDHP75
glyceraldehyde-3-phosphate dehydrogenase pseudogene 76	GAPDHP76
glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	GAPDHS
gastric adenocarcinoma associated, positive CD44 regulator, long intergenic non-coding RNA	GAPLINC
GRB2 binding adaptor protein, transmembrane	GAPT
GTPase activating protein and VPS9 domains 1	GAPVD1
GAR1 ribonucleoprotein	GAR1
GRB2 associated regulator of MAPK1 subtype 1	GAREM1
GRB2 associated regulator of MAPK1 subtype 2	GAREM2
GTPase activating Rap/RanGAP domain like 3	GARNL3
glycyl-tRNA synthetase	GARS
GARS divergent transcript	GARS-DT
glycyl-tRNA synthetase pseudogene 1	GARSP1
phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	GART
growth arrest specific 1	GAS1
GAS1 adjacent regulatory RNA	GAS1RR
growth arrest specific 2	GAS2
growth arrest specific 2 like 1	GAS2L1
growth arrest specific 2 like 1 pseudogene 1	GAS2L1P1
growth arrest specific 2 like 1 pseudogene 2	GAS2L1P2
growth arrest specific 2 like 2	GAS2L2
growth arrest specific 2 like 3	GAS2L3
growth arrest specific 5	GAS5
GAS5 antisense RNA 1	GAS5-AS1
growth arrest specific 6	GAS6
GAS6 antisense RNA 1	GAS6-AS1
GAS6 divergent transcript	GAS6-DT
growth arrest specific 7	GAS7
growth arrest specific 8	GAS8
GAS8 antisense RNA 1	GAS8-AS1
growth arrest associated lncRNA 1	GASAL1
golgi associated kinase 1A	GASK1A
golgi associated kinase 1B	GASK1B
gastrin	GAST
GATA binding protein 1	GATA1
GATA binding protein 2	GATA2
GATA2 antisense RNA 1	GATA2-AS1
GATA binding protein 3	GATA3
GATA3 antisense RNA 1	GATA3-AS1
GATA binding protein 4	GATA4
GATA binding protein 5	GATA5
GATA binding protein 6	GATA6
GATA6 antisense RNA 1 (head to head)	GATA6-AS1
GATA zinc finger domain containing 1	GATAD1
GATA zinc finger domain containing 2A	GATAD2A
GATA zinc finger domain containing 2B	GATAD2B
glutamyl-tRNA amidotransferase subunit B	GATB
glutamyl-tRNA amidotransferase subunit C	GATC
glutamine amidotransferase like class 1 domain containing 1	GATD1
glutamine amidotransferase like class 1 domain containing 3A	GATD3A
glutamine amidotransferase like class 1 domain containing 3B	GATD3B
glycine amidinotransferase	GATM
GALNT8 antisense upstream 1	GAU1
glucosylceramidase beta	GBA
glucosylceramidase beta 2	GBA2
glucosylceramidase beta 3 (gene/pseudogene)	GBA3
glucosylceramidase beta pseudogene 1	GBAP1
gallbladder disease 2	GBD2
gallbladder disease 3	GBD3
1,4-alpha-glucan branching enzyme 1	GBE1
golgi brefeldin A resistant guanine nucleotide exchange factor 1	GBF1
globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)	GBGT1
guanylate binding protein 1	GBP1
guanylate binding protein 1 pseudogene 1	GBP1P1
guanylate binding protein 2	GBP2
guanylate binding protein 3	GBP3
guanylate binding protein 4	GBP4
guanylate binding protein 5	GBP5
guanylate binding protein family member 6	GBP6
guanylate binding protein 7	GBP7
gastrulation brain homeobox 1	GBX1
gastrulation brain homeobox 2	GBX2
GC vitamin D binding protein	GC
grancalcin	GCA
gall bladder cancer associated suppressor of pyruvate carboxylase lncRNA	GCASPC
glycine C-acetyltransferase	GCAT
glycine C-acetyltransferase pseudogene 1	GCATP1
GRIP and coiled-coil domain containing 1	GCC1
GRIP and coiled-coil domain containing 2	GCC2
GCC2 antisense RNA 1	GCC2-AS1
glutaryl-CoA dehydrogenase	GCDH
GC-rich sequence DNA-binding factor 2	GCFC2
glucagon	GCG
glucagon receptor	GCGR
GTP cyclohydrolase 1	GCH1
GTP cyclohydrolase I feedback regulator	GCHFR
glucokinase	GCK
glucokinase regulator	GCKR
glutamate-cysteine ligase catalytic subunit	GCLC
glutamate-cysteine ligase modifier subunit	GCLM
glial cells missing transcription factor 1	GCM1
glial cells missing transcription factor 2	GCM2
GCN1 activator of EIF2AK4	GCN1
germ cell nuclear acidic peptidase	GCNA
glucosaminyl (N-acetyl) transferase 1	GCNT1
glucosaminyl (N-acetyl) transferase 1 pseudogene 1	GCNT1P1
glucosaminyl (N-acetyl) transferase 1, core 2 pseudogene 2	GCNT1P2
glucosaminyl (N-acetyl) transferase 1 pseudogene 3	GCNT1P3
glucosaminyl (N-acetyl) transferase 1 pseudogene 4	GCNT1P4
glucosaminyl (N-acetyl) transferase 1 pseudogene 5	GCNT1P5
glucosaminyl (N-acetyl) transferase 2 (I blood group)	GCNT2
GCNT2 pseudogene 1	GCNT2P1
glucosaminyl (N-acetyl) transferase 3, mucin type	GCNT3
glucosaminyl (N-acetyl) transferase 4	GCNT4
glucosaminyl (N-acetyl) transferase family member 7	GCNT7
GRINL1A complex locus 1	GCOM1
GRINL1B complex locus 2 (pseudogene)	GCOM2
germinal center associated signaling and motility	GCSAM
germinal center associated signaling and motility like	GCSAML
GCSAML antisense RNA 1	GCSAML-AS1
glycine cleavage system protein H	GCSH
glycine cleavage system protein H pseudogene 1	GCSHP1
glycine cleavage system protein H pseudogene 2	GCSHP2
glycine cleavage system protein H pseudogene 3	GCSHP3
glycine cleavage system protein H pseudogene 4	GCSHP4
glycine cleavage system protein H pseudogene 5	GCSHP5
growth control, Y chromosome influenced	GCY
guanine deaminase	GDA
ganglioside induced differentiation associated protein 1	GDAP1
ganglioside induced differentiation associated protein 1 like 1	GDAP1L1
ganglioside induced differentiation associated protein 2	GDAP2
glycerophosphodiester phosphodiesterase 1	GDE1
growth differentiation factor 1	GDF1
growth differentiation factor 2	GDF2
growth differentiation factor 3	GDF3
growth differentiation factor 5	GDF5
growth differentiation factor 5 opposite strand	GDF5OS
growth differentiation factor 6	GDF6
growth differentiation factor 7	GDF7
growth differentiation factor 9	GDF9
growth differentiation factor 10	GDF10
growth differentiation factor 11	GDF11
growth differentiation factor 15	GDF15
GDP dissociation inhibitor 1	GDI1
GDP dissociation inhibitor 2	GDI2
GDP dissociation inhibitor 2 pseudogene 1	GDI2P1
GDP dissociation inhibitor 2 pseudogene 2	GDI2P2
glial cell derived neurotrophic factor	GDNF
GDNF antisense RNA 1	GDNF-AS1
glycerophosphodiester phosphodiesterase domain containing 1	GDPD1
glycerophosphodiester phosphodiesterase domain containing 2	GDPD2
glycerophosphodiester phosphodiesterase domain containing 3	GDPD3
glycerophosphodiester phosphodiesterase domain containing 4	GDPD4
glycerophosphodiester phosphodiesterase domain containing 5	GDPD5
GDP-D-glucose phosphorylase 1	GDPGP1
GTP binding protein overexpressed in skeletal muscle	GEM
gem nuclear organelle associated protein 2	GEMIN2
gem nuclear organelle associated protein 2 pseudogene 1	GEMIN2P1
gem nuclear organelle associated protein 2 pseudogene 2	GEMIN2P2
gem nuclear organelle associated protein 4	GEMIN4
gem nuclear organelle associated protein 5	GEMIN5
gem nuclear organelle associated protein 6	GEMIN6
gem nuclear organelle associated protein 7	GEMIN7
GEMIN7 antisense RNA 1	GEMIN7-AS1
gem nuclear organelle associated protein 8	GEMIN8
gem nuclear organelle associated protein 8 pseudogene 1	GEMIN8P1
gem nuclear organelle associated protein 8 pseudogene 2	GEMIN8P2
gem nuclear organelle associated protein 8 pseudogene 3	GEMIN8P3
gem nuclear organelle associated protein 8 pseudogene 4	GEMIN8P4
GEN1 Holliday junction 5' flap endonuclease	GEN1
golgi to ER traffic protein 4	GET4
glial fibrillary acidic protein	GFAP
growth factor, augmenter of liver regeneration	GFER
growth factor independent 1 transcriptional repressor	GFI1
growth factor independent 1B transcriptional repressor	GFI1B
G elongation factor mitochondrial 1	GFM1
G elongation factor mitochondrial 2	GFM2
glucose-fructose oxidoreductase domain containing 1	GFOD1
GFOD1 antisense RNA 1	GFOD1-AS1
glucose-fructose oxidoreductase domain containing 2	GFOD2
glutamine--fructose-6-phosphate transaminase 1	GFPT1
glutamine-fructose-6-phosphate transaminase 2	GFPT2
GDNF family receptor alpha 1	GFRA1
GDNF family receptor alpha 2	GFRA2
GDNF family receptor alpha 3	GFRA3
GDNF family receptor alpha 4	GFRA4
GDNF family receptor alpha like	GFRAL
golgi associated olfactory signaling regulator	GFY
golgi associated, gamma adaptin ear containing, ARF binding protein 1	GGA1
golgi associated, gamma adaptin ear containing, ARF binding protein 2	GGA2
golgi associated, gamma adaptin ear containing, ARF binding protein 3	GGA3
gamma-glutamylamine cyclotransferase	GGACT
gamma-glutamylcyclotransferase	GGCT
gamma-glutamyl carboxylase	GGCX
gamma-glutamyl hydrolase	GGH
gametogenetin	GGN
gametogenetin binding protein 1 (pseudogene)	GGNBP1
gametogenetin binding protein 2	GGNBP2
geranylgeranyl diphosphate synthase 1	GGPS1
gamma-glutamyltransferase 1	GGT1
gamma-glutamyltransferase 2	GGT2
gamma-glutamyltransferase 3 pseudogene	GGT3P
gamma-glutamyltransferase 4 pseudogene	GGT4P
gamma-glutamyltransferase 5	GGT5
gamma-glutamyltransferase 6	GGT6
gamma-glutamyltransferase 7	GGT7
gamma-glutamyltransferase 8 pseudogene	GGT8P
glycoprotein alpha-galactosyltransferase 1, pseudogene	GGTA1P
glycoprotein alpha-galactosyltransferase 2, pseudogene	GGTA2P
gamma-glutamyltransferase light chain 1	GGTLC1
gamma-glutamyltransferase light chain 2	GGTLC2
gamma-glutamyltransferase light chain family member 3	GGTLC3
gamma-glutamyltransferase light chain 4 pseudogene	GGTLC4P
gamma-glutamyltransferase light chain 5 pseudogene	GGTLC5P
growth hormone 1	GH1
growth hormone 2	GH2
GH3 domain containing	GHDC
gastric carcinoma proliferation enhancing transcript 1	GHET1
growth hormone inducible transmembrane protein	GHITM
growth hormone receptor	GHR
growth hormone releasing hormone	GHRH
growth hormone releasing hormone receptor	GHRHR
ghrelin and obestatin prepropeptide	GHRL
ghrelin opposite strand/antisense RNA	GHRLOS
growth hormone secretagogue receptor	GHSR
GID complex subunit 4 homolog	GID4
GID complex subunit 8 homolog	GID8
GRB10 interacting GYF protein 1	GIGYF1
GRB10 interacting GYF protein 2	GIGYF2
GIHCG inhibitor of miR-200b/200a/429 expression	GIHCG
GTPase, IMAP family member 1	GIMAP1
GIMAP1-GIMAP5 readthrough	GIMAP1-GIMAP5
GTPase, IMAP family member 2	GIMAP2
GTPase, IMAP family member 3 pseudogene	GIMAP3P
GTPase, IMAP family member 4	GIMAP4
GTPase, IMAP family member 5	GIMAP5
GTPase, IMAP family member 6	GIMAP6
GTPase, IMAP family member 7	GIMAP7
GTPase, IMAP family member 8	GIMAP8
GIMAP family P-loop NTPase domain containing 1	GIMD1
gypsy retrotransposon integrase 1	GIN1
gingival fibromatosis, hereditary, 2	GINGF2
gingival fibromatosis, hereditary, 3	GINGF3
gingival fibromatosis, hereditary, 4	GINGF4
glycoprotein integral membrane 1	GINM1
GINS complex subunit 1	GINS1
GINS complex subunit 2	GINS2
GINS complex subunit 3	GINS3
GINS complex subunit 4	GINS4
gastric inhibitory polypeptide	GIP
GIPC PDZ domain containing family member 1	GIPC1
GIPC PDZ domain containing family member 2	GIPC2
GIPC PDZ domain containing family member 3	GIPC3
gastric inhibitory polypeptide receptor	GIPR
GIT ArfGAP 1	GIT1
GIT ArfGAP 2	GIT2
gap junction protein alpha 1	GJA1
gap junction protein alpha 1 pseudogene 1	GJA1P1
gap junction protein alpha 3	GJA3
gap junction protein alpha 4	GJA4
gap junction protein alpha 5	GJA5
gap junction protein alpha 6 pseudogene	GJA6P
gap junction protein alpha 8	GJA8
gap junction protein alpha 9	GJA9
gap junction protein alpha 10	GJA10
gap junction protein beta 1	GJB1
gap junction protein beta 2	GJB2
gap junction protein beta 3	GJB3
gap junction protein beta 4	GJB4
gap junction protein beta 5	GJB5
gap junction protein beta 6	GJB6
gap junction protein beta 7	GJB7
gap junction protein gamma 1	GJC1
gap junction protein gamma 2	GJC2
gap junction protein gamma 3	GJC3
gap junction protein delta 2	GJD2
gap junction protein delta 3	GJD3
gap junction protein delta 4	GJD4
gap junction protein epsilon 1	GJE1
glycerol kinase	GK
GK antisense RNA 1	GK-AS1
GK intronic transcript 1	GK-IT1
glycerol kinase 2	GK2
glycerol kinase 3 pseudogene	GK3P
glycerol kinase 4 pseudogene	GK4P
glycerol kinase 5	GK5
glycerol kinase 6 pseudogene	GK6P
G kinase anchoring protein 1	GKAP1
gastrokine 1	GKN1
gastrokine 2	GKN2
gastrokine 3, pseudogene	GKN3P
galactosidase alpha	GLA
galactosidase beta 1	GLB1
galactosidase beta 1 like	GLB1L
galactosidase beta 1 like 2	GLB1L2
galactosidase beta 1 like 3	GLB1L3
glaucoma 1, open angle, B (adult-onset)	GLC1B
glaucoma 1, open angle, C	GLC1C
glaucoma 1, open angle, D (adult-onset)	GLC1D
glaucoma 1, open angle, H (adult-onset)	GLC1H
glaucoma 1, open angle, I	GLC1I
