Abnormality of body height	Abnormality of body height
Congenital cerebellar hypoplasia	Cerebellar hypoplasia
Hypoplasia of cerebellum	Cerebellar hypoplasia
Hypoplastic cerebellum	Cerebellar hypoplasia
Small cerebellum	Cerebellar hypoplasia
Underdeveloped cerebellum	Cerebellar hypoplasia
Brain very small	Brain very small
Muscle weakness	Muscle weakness
Muscular weakness	Muscle weakness
Coma caused by low blood sugar	Hypoglycemic coma
Coma, hypoglycemic	Hypoglycemic coma
Hypoglycaemic coma	Hypoglycemic coma
Loss of consciousness due to hypoglycemia	Hypoglycemic coma
Absence of septum pellucidum	Absent septum pellucidum
Absence of the septum pellucidum	Absent septum pellucidum
Agenesis of the septum pellucidum	Absent septum pellucidum
Missing septum pellucidum	Absent septum pellucidum
Dystonic disease	Dystonia
Dystonic movements	Dystonia
Hand mirror movements	Bimanual synkinesia
Mirror hand movements	Bimanual synkinesia
Mirror movements	Bimanual synkinesia
Involuntary jerking movements	Myoclonus
Jerking	Myoclonus
Myoclonic jerks	Myoclonus
Tremor	Tremor
Tremors	Tremor
Corpus callosum agenesis, partial	Partial agenesis of the corpus callosum
Partial agenesis of corpus callosum	Partial agenesis of the corpus callosum
Partial corpus callosum agenesis	Partial agenesis of the corpus callosum
Partial or complete agenesis of corpus callosum	Partial agenesis of the corpus callosum
Partial or complete agenesis of the corpus callosum	Partial agenesis of the corpus callosum
Partial to complete agenesis of corpus callosum	Partial agenesis of the corpus callosum
Partial-total agenesis of corpus callosum	Partial agenesis of the corpus callosum
Fewer or absent grooves in brain	Lissencephaly
Olfactory lobe absence	Olfactory lobe agenesis
Bleeding in brain	Cerebral hemorrhage
Hemorrhagic stroke	Cerebral hemorrhage
Intracerebral hemorrhage	Cerebral hemorrhage
Absent speech development	Absent speech
Lack of language development	Absent speech
Lack of speech	Absent speech
No speech development	Absent speech
No speech or language development	Absent speech
Nonverbal	Absent speech
Increased deep tendon reflexes	Hyperreflexia
Increased reflexes	Hyperreflexia
Bilateral facial weakness	Facial diplegia
Facial paresis, bilateral	Facial diplegia
Slurred speech	Slurred speech
Enlarged brain	Megalencephaly
Macrencephaly	Megalencephaly
Asymmetry of the posterior cranium	Plagiocephaly
Asymmetry of the posterior head	Plagiocephaly
Asymmetry of the posterior skull	Plagiocephaly
Deformational plagiocephaly	Plagiocephaly
Flat head	Plagiocephaly
Flat head syndrome	Plagiocephaly
Flattening of cranial vault	Plagiocephaly
Flattening of cranium	Plagiocephaly
Flattening of head	Plagiocephaly
Flattening of skull	Plagiocephaly
Positional plagiocephaly	Plagiocephaly
Rhomboid shaped cranium	Plagiocephaly
Rhomboid shaped head	Plagiocephaly
Rhomboid shaped skull	Plagiocephaly
Single brain ventricle	Holoprosencephaly
Calvarial defect	Calvarial skull defect
Cranial defect	Calvarial skull defect
Skull defect	Calvarial skull defect
Cranial suture synostosis	Craniosynostosis
Craniostenosis	Craniosynostosis
Craniosyostosis	Craniosynostosis
Deformity of the skull	Craniosynostosis
Early fusion of cranial sutures	Craniosynostosis
Premature closure of cranial sutures	Craniosynostosis
Premature fontanel closure	Craniosynostosis
Premature suture closure	Craniosynostosis
Abnormal shape of joints	Abnormal joint morphology
Abnormality of the joints	Abnormal joint morphology
Anomaly of the joints	Abnormal joint morphology
Joint disease	Abnormal joint morphology
Arthritis	Arthritis
Joint inflammation	Arthritis
Rheumatoid arthritis	Rheumatoid arthritis
Contracture	Flexion contracture
Contractures	Flexion contracture
Flexed joint that cannot be straightened	Flexion contracture
Flexion contractures	Flexion contracture
Flexion contractures of joints	Flexion contracture
Joint contracture	Flexion contracture
Joint contractures	Flexion contracture
Joint dislocation	Joint dislocation
Joint dislocations	Joint dislocation
Recurrent joint dislocations	Joint dislocation
Congenital dislocation of the hip	Congenital hip dislocation
Congenital dislocation of the hips	Congenital hip dislocation
Congenital hip anomaly	Congenital hip dislocation
Congenital hip dislocations	Congenital hip dislocation
Dislocated hip since birth	Congenital hip dislocation
Decreased joint mobility	Limitation of joint mobility
Decreased mobility of joints	Limitation of joint mobility
Limitation of joint mobility	Limitation of joint mobility
Limited joint mobility	Limitation of joint mobility
Limited joint motion	Limitation of joint mobility
Decreased elbow extension	Limited elbow extension
Elbow limited extension	Limited elbow extension
Limitation of elbow extension	Limited elbow extension
Limited elbow extension	Limited elbow extension
Limited extension at elbows	Limited elbow extension
Limited forearm extension	Limited elbow extension
Restricted elbow extension	Limited elbow extension
Double-Jointed	Joint hypermobility
Extensible joints	Joint hypermobility
Flexible joints	Joint hypermobility
Hyperextensible joints	Joint hypermobility
Increased mobility of joints	Joint hypermobility
Joint hyperextensibility	Joint hypermobility
Abnormality of the hip joint	Abnormality of the hip joint
Abnormality of the hip joints	Abnormality of the hip joint
Abnormal formation of the hip	Hip dysplasia
Congenital hip dysplasia	Hip dysplasia
Joint swelling	Joint swelling
Joint stiffness	Joint stiffness
Stiff joint	Joint stiffness
Stiff joints	Joint stiffness
Joint instability	Joint laxity
Joint ligamentous laxity	Joint laxity
Lax joints	Joint laxity
Ligamentous laxity	Joint laxity
Loose-jointedness	Joint laxity
Loosejointedness	Joint laxity
Abnormal liver	Abnormality of the liver
Abnormality of the liver	Abnormality of the liver
Liver abnormality	Abnormality of the liver
Liver disease	Abnormality of the liver
Hepatic cirrhosis	Cirrhosis
Liver cirrhosis	Cirrhosis
Scar tissue replaces healthy tissue in the liver	Cirrhosis
Slowed or blocked flow of bile from liver	Cholestasis
Fatty infiltration of liver	Hepatic steatosis
Fatty liver	Hepatic steatosis
Liver steatosis	Hepatic steatosis
Steatosis	Hepatic steatosis
Liver failure	Hepatic failure
Increased hepatocellular carcinoma risk	Hepatocellular carcinoma
Increased incidence of hepatocellular carcinoma	Hepatocellular carcinoma
Macrovesicular steatosis	Macrovesicular hepatic steatosis
Death of liver cells	Hepatocellular necrosis
Hepatocellular loss	Hepatocellular necrosis
Impaired release of bile from liver	Intrahepatic cholestasis
Liver cysts	Hepatic cysts
Proliferation of bile canaliculi	Bile duct proliferation
Decreased liver function	Decreased liver function
Liver dysfunction	Decreased liver function
Liver dysfunction, mild	Decreased liver function
Microvesicular steatosis	Microvesicular hepatic steatosis
X-linked	X-linked inheritance
X-linked form	X-linked inheritance
X-linked recessive	X-linked recessive inheritance
Abnormal hand muscles	Abnormality of the musculature of the hand
X-linked dominant	X-linked dominant inheritance
Genetic heterogeneity	Heterogeneous
Heterogeneity	Heterogeneous
Familial predisposition	Multifactorial inheritance
Mitochondrial	Mitochondrial inheritance
Abnormal calf muscles	Abnormality of the calf musculature
Abnormality of calf musculature	Abnormality of the calf musculature
Enlarged liver and spleen	Hepatosplenomegaly
Abnormality of shoulder musculature	Abnormality of the shoulder girdle musculature
Abnormal foot muscles	Abnormality of the foot musculature
Abdomen abnormality	Abnormality of abdomen morphology
Abnormality of abdomen morphology	Abnormality of abdomen morphology
Abnormality of the abdomen	Abnormality of abdomen morphology
Fusion of metatarsals	Metatarsal synostosis
Fusion of the long bones of the feet	Metatarsal synostosis
Synostosis involving metatarsal bones	Metatarsal synostosis
Abnormal thigh muscles	Abnormality of the musculature of the thigh
Abnormality of glutes	Abnormality of the gluteal musculature
Abnormal upper limb muscles	Abnormality of the musculature of the upper limbs
Duplication of long bones of foot	Duplication of metatarsal bones
Webbed 1st-3rd toes	1-3 toe syndactyly
Absent/small skeletal muscles	Aplasia/Hypoplasia involving the skeletal musculature
Absent/underdeveloped skeletal muscles	Aplasia/Hypoplasia involving the skeletal musculature
Absent/small shoulder muscles	Aplasia/Hypoplasia involving the shoulder musculature
Absent/underdeveloped shoulder muscles	Aplasia/Hypoplasia involving the shoulder musculature
Shoulder muscle degeneration	Amyotrophy involving the shoulder musculature
Wasting of shoulder muscles	Amyotrophy involving the shoulder musculature
Absent/small upper limb muscles	Aplasia/Hypoplasia involving the musculature of the upper limbs
Absent/underdeveloped upper limb muscles	Aplasia/Hypoplasia involving the musculature of the upper limbs
Absent/small upper arm muscles	Aplasia/Hypoplasia involving the musculature of the upper arm
Absent/underdeveloped upper arm muscles	Aplasia/Hypoplasia involving the musculature of the upper arm
Absent/small pelvis muscles	Aplasia/Hypoplasia of the musculature of the pelvis
Absent/underdeveloped pelvis muscles	Aplasia/Hypoplasia of the musculature of the pelvis
Osteolysis involving metatarsal bones	Metatarsal osteolysis
Delayed closure anterior fontanel	Delayed closure of the anterior fontanelle
Delayed closure of anterior fontanelle	Delayed closure of the anterior fontanelle
Delayed closure of the bregma sutures	Delayed closure of the anterior fontanelle
Delayed closure of the soft spot on the skull	Delayed closure of the anterior fontanelle
Late closure of anterior fontanelle	Delayed closure of the anterior fontanelle
Late closure of large anterior fontanel	Delayed closure of the anterior fontanelle
Late closure of soft spot on the skull	Delayed closure of the anterior fontanelle
Late closure of the bregma sutures	Delayed closure of the anterior fontanelle
Later than typical closing of soft spot of skull	Delayed closure of the anterior fontanelle
Persistent anterior fontanelle	Delayed closure of the anterior fontanelle
Compensatory head tilt/chin elevation	Compensatory chin elevation
Freckling	Freckling
Firm lump under the skin	Subcutaneous nodule
Growth of abnormal tissue under the skin	Subcutaneous nodule
Multiple, subcutaneous nodules	Subcutaneous nodule
Nodule below the skin	Subcutaneous nodule
Subcutaneous nodules	Subcutaneous nodule
Drooping of both upper eyelids	Bilateral ptosis
Vitreous detachment	Posterior vitreous detachment
CFEOM	Congenital fibrosis of extraocular muscles
Congenital fibrosis of the extraocular muscles	Congenital fibrosis of extraocular muscles
Congenital ophthalmoplegia	Congenital fibrosis of extraocular muscles
Congenital retinal fold	Falciform retinal fold
Carpal bone osteolysis	Carpal osteolysis
Hypoplasia of carpal bones	Carpal bone hypoplasia
Hypoplastic carpal bones	Carpal bone hypoplasia
Small carpal bones	Carpal bone hypoplasia
Small carpals	Carpal bone hypoplasia
Small wrist bones	Carpal bone hypoplasia
Broad finger	Broad finger
Broad fingers	Broad finger
Wide fingers	Broad finger
6 long bones of hand	6 metacarpals
Metacarpals osteolysis	Metacarpal osteolysis
Abnormal growth	Growth abnormality
Growth abnormality	Growth abnormality
Growth issue	Growth abnormality
Faltering weight	Failure to thrive
Poor weight gain	Failure to thrive
Postnatal failure to thrive	Failure to thrive
Undergrowth	Failure to thrive
Weight faltering	Failure to thrive
Delayed growth	Growth delay
Growth deficiency	Growth delay
Growth delay	Growth delay
Growth failure	Growth delay
Growth retardation	Growth delay
Poor growth	Growth delay
Retarded growth	Growth delay
Very poor growth	Growth delay
In utero growth retardation	Intrauterine growth retardation
Intrauterine growth failure	Intrauterine growth retardation
Intrauterine growth restriction	Intrauterine growth retardation
Intrauterine growth retardation, IUGR	Intrauterine growth retardation
Intrauterine retardation	Intrauterine growth retardation
IUGR	Intrauterine growth retardation
Prenatal growth deficiency	Intrauterine growth retardation
Prenatal growth failure	Intrauterine growth retardation
Prenatal growth retardation	Intrauterine growth retardation
Prenatal onset growth retardation	Intrauterine growth retardation
Prenatal-onset growth retardation	Intrauterine growth retardation
Small for gestational age infant	Intrauterine growth retardation
Having too much body fat	Obesity
Obesity	Obesity
Birth weight less than 10th percentile	Small for gestational age
Low birth weight	Small for gestational age
Small for gestational age	Small for gestational age
Dolichostenomelia	Disproportionate tall stature
Marfanoid body habitus	Disproportionate tall stature
Marfanoid habitus	Disproportionate tall stature
Reduced upper-lower segment ratio	Disproportionate tall stature
Birth weight > 90th percentile	Large for gestational age
Birthweight > 90th percentile	Large for gestational age
Fetal macrosomia	Large for gestational age
Macrosomia	Large for gestational age
Macrosomia, neonatal	Large for gestational age
Death in early childhood	Death in infancy
Death in infancy	Death in infancy
Infantile death	Death in infancy
Lethal in infancy	Death in infancy
Marked failure to thrive	Severe failure to thrive
Severe faltering weight	Severe failure to thrive
Severe postnatal failure to thrive	Severe failure to thrive
Severe weight faltering	Severe failure to thrive
Asymmetric limb hypertrophy	Hemihypertrophy
Asymmetric overgrowth	Hemihypertrophy
Mild growth deficiency	Mild postnatal growth retardation
Postnatal onset of mild growth retardation	Mild postnatal growth retardation
Failure to thrive in first year of life	Failure to thrive in infancy
Faltering weight in infancy	Failure to thrive in infancy
Weight faltering in infancy	Failure to thrive in infancy
Asthenic habitus	Slender build
Slender build	Slender build
Thin body habitus	Slender build
Thin build	Slender build
Umbilical hernias	Umbilical hernia
Abdominal protuberance	Protuberant abdomen
Belly sticks out	Protuberant abdomen
Extended belly	Protuberant abdomen
Omphalocoele	Omphalocele
Gap between large left and right abdominal muscles	Diastasis recti
Accumulation of fluid in the abdomen	Ascites
Prominent belly button	Prominent umbilicus
Prominent navel	Prominent umbilicus
Anteriorly displaced anus	Anteriorly placed anus
Anus anteposition	Anteriorly placed anus
Abnormality of the rib cage	Abnormality of the rib cage
Fetal overgrowth	Overgrowth
General overgrowth	Overgrowth
Generalized overgrowth	Overgrowth
Abnormality of the ileum	Abnormal ileum morphology
Abnormal belly button	Abnormal umbilicus morphology
Abnormal navel	Abnormal umbilicus morphology
Abnormal umbilicus	Abnormal umbilicus morphology
Barrel chest	Barrel-shaped chest
Barrel-shaped chest	Barrel-shaped chest
Asymmetric chest	Asymmetry of the thorax
Abnormal intrauterine movements	Prenatal movement abnormality
Decreased fetal activity	Decreased fetal movement
Decreased fetal movements	Decreased fetal movement
Decreased movement in utero	Decreased fetal movement
Fetal hypokinesia	Decreased fetal movement
Less than 10 fetal movements in 12 hours	Decreased fetal movement
Reduced fetal movement	Decreased fetal movement
Reduced fetal movements	Decreased fetal movement
Abnormal amniotic fluid	Abnormality of the amniotic fluid
High levels of amniotic fluid	Polyhydramnios
Hydramnios	Polyhydramnios
Low levels of amniotic fluid	Oligohydramnios
Maternal oligohydramnios	Oligohydramnios
Central incisor gap	Widely-spaced maxillary central incisors
Diastasis of the central incisors	Widely-spaced maxillary central incisors
Diastema between maxillary central incisors	Widely-spaced maxillary central incisors
Diastema between upper front teeth	Widely-spaced maxillary central incisors
Diastema between upper incisors	Widely-spaced maxillary central incisors
Gap between upper front teeth	Widely-spaced maxillary central incisors
Separated superior central incisors	Widely-spaced maxillary central incisors
Wide gap between upper central incisors	Widely-spaced maxillary central incisors
Wide upper central incisors	Widely-spaced maxillary central incisors
Widely spaced upper incisors	Widely-spaced maxillary central incisors
Impacted teeth	Multiple impacted teeth
Multiple buried teeth	Multiple impacted teeth
Multiple impacted teeth	Multiple impacted teeth
Multiple retained teeth	Multiple impacted teeth
Hyperplasia of tooth	Macrodontia
Hypertrophy of tooth	Macrodontia
Increased size of tooth	Macrodontia
Increased width of tooth	Macrodontia
Large teeth	Macrodontia
Large tooth	Macrodontia
Tooth mass excess	Macrodontia
Mood alterations	Mood changes
Moody	Mood changes
ACTH-independent hypercortisolemia	Primary hypercortisolism
Cutaneous infections	Recurrent skin infections
Recurrent skin infections	Recurrent skin infections
Skin infections	Recurrent skin infections
Skin infections, recurrent	Recurrent skin infections
Loose redundant skin	Redundant skin
Redundant skin folds	Redundant skin
Sagging, redundant skin	Redundant skin
Rotatory Nystagmus	Rotary nystagmus
Bell-shaped chest	Bell-shaped thorax
Constricted, bell-shaped thorax	Bell-shaped thorax
Narrow, bell-shaped thorax	Bell-shaped thorax
Absence of a tooth	Selective tooth agenesis
Agenesis of a tooth	Selective tooth agenesis
Failure of development of a tooth	Selective tooth agenesis
Missing a tooth	Selective tooth agenesis
Decreased size of maxillary lateral incisor	Maxillary lateral incisor microdontia
Decreased size of upper lateral incisor	Maxillary lateral incisor microdontia
Decreased width of upper lateral incisor	Maxillary lateral incisor microdontia
Hypotrophic maxillary lateral incisor	Maxillary lateral incisor microdontia
Hypotrophic upper lateral incisor	Maxillary lateral incisor microdontia
Small maxillary lateral incisor	Maxillary lateral incisor microdontia
Small upper lateral incisor	Maxillary lateral incisor microdontia
Abnormality of the hair	Abnormality of the hair
Abnormality of the hair shaft	Abnormality of the hair
Hair abnormality	Abnormality of the hair
Hair loss	Alopecia
Abnormality of the nail	Abnormality of the nail
Nail disease	Abnormality of the nail
Koilonychia	Concave nail
Spoon-shaped nails	Concave nail
Laryngeal abnormalities	Abnormality of the larynx
Laryngeal anomalies	Abnormality of the larynx
Softening of voice box tissue	Laryngomalacia
Hoarse voice due to vocal cord paresis	Vocal cord paresis
Vocal cord paresis in severe cases	Vocal cord paresis
Weakness of the vocal cords	Vocal cord paresis
Inability to move vocal cords	Vocal cord paralysis
Laryngeal paralysis	Vocal cord paralysis
Abnormality of the voice	Abnormality of the voice
Voice abnormality	Abnormality of the voice
Hoarse voice	Hoarse voice
Hoarseness	Hoarse voice
Husky voice	Hoarse voice
Hypernasal speech	Nasal speech
Hypernasal voice	Nasal speech
Nasal speech	Nasal speech
Nasal voice	Nasal speech
Hoarse cry	Hoarse cry
Inability to produce voice sounds	Dysphonia
High pitched voice	High pitched voice
High-pitched voice	High pitched voice
Hypophonia	Weak voice
Soft voice	Weak voice
Weak voice	Weak voice
Premature birth	Premature birth
Premature delivery	Premature birth
Premature delivery of affected infants	Premature birth
Preterm delivery	Premature birth
Shortened gestation time	Premature birth
Breech presentation at birth	Breech presentation
Feet or buttocks of fetus positioned near opening of uterus	Breech presentation
Abnormality of the cardiovascular system	Abnormality of the cardiovascular system
Cardiac anomaly	Abnormality of the cardiovascular system
Cardiovascular abnormality	Abnormality of the cardiovascular system
Cardiovascular disease	Abnormality of the cardiovascular system
Abnormality of cardiac morphology	Abnormal heart morphology
Abnormality of the heart	Abnormal heart morphology
Abnormally shaped heart	Abnormal heart morphology
Cardiac abnormality	Abnormal heart morphology
Cardiac anomalies	Abnormal heart morphology
Congenital heart defect	Abnormal heart morphology
Congenital heart defects	Abnormal heart morphology
Hole in heart wall separating two lower heart chambers	Ventricular septal defect
Ventricular septal defects	Ventricular septal defect
Ventriculoseptal defect	Ventricular septal defect
An opening in the wall separating the top two chambers of the heart	Atrial septal defect
ASD	Atrial septal defect
Atria septal defect	Atrial septal defect
Atrial septum defect	Atrial septal defect
Defect in the atrial septum	Atrial septal defect
Hole in heart wall separating two upper heart chambers	Atrial septal defect
Abnormality of the mitral valve	Abnormal mitral valve morphology
Cardiac failure	Congestive heart failure
Cardiac failures	Congestive heart failure
Cardiac insufficiency	Congestive heart failure
CHF	Congestive heart failure
Chronic heart failure	Congestive heart failure
Heart failure	Congestive heart failure
Tetrology of fallot	Tetralogy of Fallot
Abnormality of the myocardium	Abnormal myocardium morphology
Disease of the heart muscle	Cardiomyopathy
Cardiomyopathy, hypertrophic	Hypertrophic cardiomyopathy
Enlarged and thickened heart muscle	Hypertrophic cardiomyopathy
Enlarged heart	Cardiomegaly
Increased heart size	Cardiomegaly
Abnormality of the pulmonary valve	Abnormal pulmonary valve morphology
Anomaly of the pulmonary valve	Abnormal pulmonary valve morphology
Narrowing of pulmonic valve	Pulmonic stenosis
Pulmonary stenosis	Pulmonic stenosis
Pulmonary valve stenosis	Pulmonic stenosis
Pulmonic valve stenosis	Pulmonic stenosis
Ductus arteriosus	Patent ductus arteriosus
Persistent arterial duct	Patent ductus arteriosus
Persistent ductus arteriosus	Patent ductus arteriosus
Cardiomyopathy, dilated	Dilated cardiomyopathy
Congestive cardiomyopathy	Dilated cardiomyopathy
Stretched and thinned heart muscle	Dilated cardiomyopathy
Premature sudden cardiac death	Sudden cardiac death
Sudden cardiac death	Sudden cardiac death
Abnormality of the aortic valve	Abnormal aortic valve morphology
Aortic valve has two leaflets rather than three	Bicuspid aortic valve
Elevated heart rate	Tachycardia
Fast heart rate	Tachycardia
Heart racing	Tachycardia
Increased heart rate	Tachycardia
Racing heart	Tachycardia
Rapid heart beat	Tachycardia
Aortic stenosis	Aortic valve stenosis
Narrowing of aortic valve	Aortic valve stenosis
Valvular aortic stenosis	Aortic valve stenosis
Heart tip and four chambers point towards right side of body	Dextrocardia
Thoracic situs inversus	Dextrocardia
Mitral incompetence	Mitral regurgitation
Mitral insufficiency	Mitral regurgitation
Mitral regurgitation, mild	Mitral regurgitation
Mitral valve insufficiency	Mitral regurgitation
Mitral valve regurgitation	Mitral regurgitation
Abnormality of the heart valves	Abnormal heart valve morphology
Valvular abnormality	Abnormal heart valve morphology
Valvular heart disease	Abnormal heart valve morphology
Long Q-T syndrome	Prolonged QT interval
Long QT syndrome	Prolonged QT interval
Prolong qt interval on ekg	Prolonged QT interval
Heart attack	Myocardial infarction
MI	Myocardial infarction
Aortic insufficiency	Aortic regurgitation
Aortic valve regurgitation	Aortic regurgitation
Common arterial trunk	Truncus arteriosus
Persistant truncus arteriosus	Truncus arteriosus
Brachycardia	Bradycardia
Slow heartbeats	Bradycardia
Torsades de pointes	Torsade de pointes
Heart right ventricle hypertrophy	Right ventricular hypertrophy
Transposition of great vessels	Transposition of the great arteries
Abnormality of the cardiac septa	Abnormal cardiac septum morphology
Heart septal defect	Abnormal cardiac septum morphology
Septal defects	Abnormal cardiac septum morphology
Atrioventricular canal	Complete atrioventricular canal defect
Common atrioventricular canal	Complete atrioventricular canal defect
Complete atrioventricular septal defect	Complete atrioventricular canal defect
Complete common AV canal	Complete atrioventricular canal defect
Coronary atherosclerosis	Coronary artery atherosclerosis
Coronary disease	Coronary artery atherosclerosis
Plaque build-up in arteries supplying blood to heart	Coronary artery atherosclerosis
Atrioventricular nodal disease	Atrioventricular block
Interruption of electrical communication between upper and lower chambers of heart	Atrioventricular block
Abnormal aorta morphology	Abnormal aortic morphology
Abnormality of the aorta	Abnormal aortic morphology
Aortic coarctation	Coarctation of aorta
Coarctation of the aorta	Coarctation of aorta
Narrowing of aorta	Coarctation of aorta
Narrowing of the aorta	Coarctation of aorta
Narrowing of blood vessel below aortic heart valve	Subvalvular aortic stenosis
Subaortic stenosis	Subvalvular aortic stenosis
Atrial septal defect, ostium secundum type	Secundum atrial septal defect
Ostium secundum atrial septal defect	Secundum atrial septal defect
Patent ostium secundum	Secundum atrial septal defect
Aphonia	Loss of voice
Muscular subaortic stenosis	Muscular subvalvular aortic stenosis
Primary atrial arrhythmia	Atrial arrhythmia
Heart stops beating	Cardiac arrest
All organs on wrong side of body	Situs inversus totalis
Situs inversus	Situs inversus totalis
situs oppositus	Situs inversus totalis
situs transversus	Situs inversus totalis
Abnormality of the pericardium	Abnormal pericardium morphology
Fluid around heart	Pericardial effusion
Pericardial effusions	Pericardial effusion
Swelling or irritation of membrane around heart	Pericarditis
Abnormality of the tricuspid valve	Abnormal tricuspid valve morphology
Right ventricular outlet obstruction	Right ventricular outlet tract obstruction
Abnormality of the right ventricle	Abnormal right ventricle morphology
Right ventricular abnormality	Abnormal right ventricle morphology
Impaired right ventricular function	Right ventricular failure
Right ventricular impairment	Right ventricular failure
Right-sided heart failure	Right ventricular failure
Complete heart block	Third degree atrioventricular block
Third-degree heart block	Third degree atrioventricular block
Conotruncal heart defects	Conotruncal defect
Abnormal heart left ventricle morphology	Abnormal left ventricle morphology
Abnormality of the left ventricle	Abnormal left ventricle morphology
Left ventricular abnormality	Abnormal left ventricle morphology
Heart left ventricle hypertrophy	Left ventricular hypertrophy
Left ventricular wall hypertrophy	Left ventricular hypertrophy
Abnormality of cardiac ventricle	Abnormal cardiac ventricle morphology
Mitral valve stenosis	Mitral stenosis
DORV	Double outlet right ventricle
Double-outlet right ventricle	Double outlet right ventricle
Progressive hearing loss	Progressive hearing impairment
Abnormality of the pancreas	Abnormality of the pancreas
Pancreatic disease	Abnormality of the pancreas
Pancreatic inflammation	Pancreatitis
Acute pancreatic inflammation	Acute pancreatitis
Pancreatitis, acute	Acute pancreatitis
Multiple pancreatic cysts	Pancreatic cysts
Pancreatic cyst	Pancreatic cysts
Pancreatic cysts	Pancreatic cysts
Inability to properly digest food due to lack of pancreatic digestive enzymes	Exocrine pancreatic insufficiency
Pancreatic insufficiency	Exocrine pancreatic insufficiency
Blockage of nose	Nasal obstruction
Congestion of nose	Nasal obstruction
Nasal blockage	Nasal obstruction
Nasal congestion	Nasal obstruction
Nasal obstruction	Nasal obstruction
Obstruction of nose	Nasal obstruction
Stuffy nose	Nasal obstruction
Abnormality of the spleen	Abnormality of the spleen
Increased spleen size	Splenomegaly
Absent spleen	Asplenia
Accessory spleens	Polysplenia
Multiple accessory spleens	Polysplenia
Multiple small spleens	Polysplenia
Common ventricle	Single ventricle
Impaired vestibular function	Vestibular dysfunction
Interictal vestibular dysfunction	Vestibular dysfunction
Vestibular function defect	Vestibular dysfunction
High frequency sensorineural hearing impairment	High-frequency sensorineural hearing impairment
High-tone sensorineural deafness	High-frequency sensorineural hearing impairment
High-tone sensorineural hearing impairment	High-frequency sensorineural hearing impairment
Abnormal feet morphology	Abnormality of the foot
Abnormality of the feet	Abnormality of the foot
Abnormality of the foot	Abnormality of the foot
Foot deformities	Abnormality of the foot
Foot deformity	Abnormality of the foot
High-arched foot	Pes cavus
Club feet	Talipes equinovarus
Club foot	Talipes equinovarus
Clubfeet	Talipes equinovarus
Clubfoot	Talipes equinovarus
Equinovarus	Talipes equinovarus
Foot, talipes equinovarus	Talipes equinovarus
Pes equinovarus	Talipes equinovarus
Pes equinus	Talipes equinovarus
Talipes varus	Talipes equinovarus
Dropped arches	Pes planus
Fallen arches	Pes planus
Flat feet	Pes planus
Flat foot	Pes planus
Hammer toe	Hammertoe
Hammertoe	Hammertoe
Hammertoes	Hammertoe
Broad feet	Broad foot
Broad foot	Broad foot
Wide foot	Broad foot
Foot syndactyly	Toe syndactyly
Fused toes	Toe syndactyly
Syndactyly of feet	Toe syndactyly
Syndactyly of toes	Toe syndactyly
Webbed toes	Toe syndactyly
Achilles tendon contractures	Achilles tendon contracture
Contractures of the Achilles tendon	Achilles tendon contracture
Shortening of the achilles tendon	Achilles tendon contracture
Tight achilles tendon	Achilles tendon contracture
Equinovalgus deformity	Talipes equinovalgus
Hypoplastic feet	Short foot
Short feet	Short foot
Short foot	Short foot
Small feet	Short foot
Bilateral clubfeet	Bilateral talipes equinovarus
Bilateral clubfoot	Bilateral talipes equinovarus
Club foot on both sides	Bilateral talipes equinovarus
Abnormalities of the toes	Abnormality of toe
Abnormality of toe	Abnormality of toe
Broad metatarsals	Broad metatarsal
Wide long bone of foot	Broad metatarsal
Widened metatarsal shaft	Broad metatarsal
Ankle swelling	Ankle swelling
Narrow foot	Narrow foot
Slender feet	Narrow foot
Abnormal delivery	Abnormal delivery
Delivery complication	Abnormal delivery
Hydrops fetalis, non-immune	Nonimmune hydrops fetalis
Hydrops fetalis, nonimmune	Nonimmune hydrops fetalis
Non-immune fetal hydrops	Nonimmune hydrops fetalis
Nonimmune hydrops	Nonimmune hydrops fetalis
Hypoplastic nail	Small nail
Hypoplastic nails	Small nail
Nail hypoplasia	Small nail
Small nail	Small nail
Small nails	Small nail
Nail overcurvature	Hyperconvex nail
Absent nails	Anonychia
Aplastic nails	Anonychia
Short nail	Short nail
Short nails	Short nail
Underdeveloped toenails	Hypoplastic toenails
Absent toenail	Absent toenail
Absent toenails	Absent toenail
Absent toenails (anonychia)	Absent toenail
Anonychia of toenails	Absent toenail
Nail pits	Nail pits
Nail pitting	Nail pits
Pitted nails	Nail pits
Small fingernail	Hypoplastic fingernail
Underdeveloped fingernail	Hypoplastic fingernail
Dystrophic thickened nails	Thick nail
Onychogryposis	Thick nail
Thickened nails	Thick nail
Detachment of nail	Onycholysis
Oncholysis	Onycholysis
Grooved nails	Ridged nail
Longitudinal ridging	Ridged nail
Nail ridging	Ridged nail
Ridged nails	Ridged nail
Brittle nails	Fragile nails
Longitudinal splitting of nail	Split nail
Dystrophic toenail changes	Dystrophic toenail
Dystrophic toenails	Dystrophic toenail
Poor toenail formation	Dystrophic toenail
Tubular fingernails	Hyperconvex fingernails
Deep-set nails	Deep-set nails
Thin nail	Thin nail
Thin nails	Thin nail
Absent fingernail	Absent fingernail
Anonychia of fingernails	Absent fingernail
Aplasia of the fingernail	Absent fingernail
White discoloration of nails	Leukonychia
Broad fingernails	Broad nail
Broad nail	Broad nail
