HPO name	Synonyms
Cupped ulnar metaphysis	
Ulnar metaphyseal irregularity	Irregular ulnar metaphysis
Lytic defects of ulnar metaphysis	
Pointed ulnar metaphysis	
Sloping ulnar metaphysis	
Spurred ulnar metaphysis	
Wide ulnar metaphysis	Broad ulnar metaphysis
Narrow joint spaces of wrist	
Decreased carpal angles of wrist	
Absent hand	Absent hand, Acheiria
Advanced ossification of the hand bones	Accelerated maturation of hand bones, Advanced maturation of the hand bones
Delayed ossification of the hand bones	Delay maturation/delayed ossification of the hand, Delayed maturation of the hand bones
Dysharmonic maturation of the hand bones	Disharmonic maturation of the hand bones, Dysharmonic ossification of the hand bones
Sclerosis of hand bone	Generalized sclerosis of hand bones, Hand bone sclerosis, Increased bone density in hand bone
Mitten deformity	Pseudosyndactyly
Hand monodactyly	
Radial club hand	Radial dysplasia
Trident hand	trident abnormality, trident deformity
obsolete Laterally deviated thumb phalanges	
obsolete Laterally deviated terminal thumb phalanx	
obsolete Advanced maturation/advanced ossification of terminal thumb phalanx epiphysis	
Curved fingers	Curved fingers
Deviation of finger	Atypical position of finger, Deviated fingers, Finger pointing in a different direction than usual
Macrodactyly	Finger overgrowth, Megalodactyly
Abnormal 2nd finger morphology	Abnormality of index finger, Abnormality of the 2nd finger
obsolete Radially deviated index finger phalanges	
Midline nasal groove	Central nasal groove, Midline nasal groove
obsolete Radially displaced proximal index finger phalanx	
Midline defect of the nose	Central cleft of nose, Central defect of nose, Central nasal defect, Midline cleft of nose, Midline defect of the nose, Midline nasal defect
Dimple on nasal tip	Dimple on nasal tip, Dimpled tip of nose
obsolete Metaphyseal abnormality of middle phalanx of the 2nd finger	
obsolete Flared metaphysis of middle phalanx of index finger	
obsolete Radially deviated terminal index finger phalanx	
obsolete Duplication of terminal index finger phalanx	
Abnormal 3rd finger morphology	Abnormality of the 3rd finger, Abnormality of the middle finger
obsolete Overgrowth of middle finger	
obsolete Accessory middle-finger phalanges	
obsolete Periosteal new bone of middle finger phalanges	
obsolete Radially pointed middle finger phalanges	
obsolete Radially pointed proximal middle-finger phalanx	
Abnormality of the middle phalanx of the 3rd finger	Abnormal middle finger bone of the middle finger
obsolete Accessory middle phalanx of middle finger	
obsolete Periosteal new bone of middle phalanx of middle-finger	
Short distal phalanx of the 3rd finger	Hypoplastic/small distal phalanx of the 3rd finger, Short distal phalanx of the third finger, Short outermost bone of the middle finger, Short terminal phalanx of middle finger
obsolete Abnormality of the epiphyses of the terminal phalanx of the middle finger	
obsolete Cone-shaped epiphysis of terminal phalanx of the middle finger	
obsolete Fused epiphysis of terminal phalanx of the middle finger	
obsolete Large epiphysis of terminal phalanx of the middle finger	
obsolete Prematurely fused epiphysis of terminal phalanx of the middle finger	
Abnormal 4th finger morphology	Abnormality of the 4th finger, Abnormality of the ring finger
obsolete Bracket epiphyses of the 4th finger	
obsolete Expanded phalanges of the ring finger	
obsolete Hypoplastic phalanges of the ring finger	
Osteolytic defects of the phalanges of the 4th finger	Lytic defects of the phalanges of the ring finger
obsolete Short phalanges of the ring finger	
Symphalangism of the 4th finger	Fused ring finger bones, Symphalangism of the ring finger
obsolete Wide/broad phalanges of the ring finger	
obsolete Expanded proximal phalanx of the ring finger	
obsolete Lytic defects of the proximal phalanx of the ring finger	
obsolete Short proximal phalanx of the ring finger	
Abnormal 5th finger morphology	Abnormality of the 5th finger, Abnormality of the little finger, Abnormality of the pinkie finger, Abnormality of the pinky finger
Clinodactyly of the 5th finger	Bilateral fifth digit clinodactyly, Bilateral fifth finger clinodactyly, Clinodactyly of fifth digit, Clinodactyly of the little finger, Curvature of little finger, Curvature of pinkie finger, Curvature of pinky finger, Fifth finger clinodactyly, Permanent curving of the pinkie finger
Abnormal 5th finger phalanx morphology	Abnormality of the little finger bone, Abnormality of the phalanges of the 5th finger, Abnormality of the pinkie finger bone, Abnormality of the pinky finger bone
Curved phalanges of the 5th finger	Curved little finger bone, Curved pinkie finger bone, Curved pinky finger bone
Osteolytic defects of the phalanges of the 5th finger	Lytic defects of the phalanges of the little finger
Symphalangism of the 5th finger	Fused little finger bones, Fused pinkie finger bones, Fused pinky finger bones, Symphalagism of the little finger
Abnormality of the middle phalanx of the 5th finger	Abnormality of the middle bone of little finger, Abnormality of the middle bone of pinkie finger, Abnormality of the middle bone of pinky finger
Short middle phalanx of the 5th finger	5th finger middle phalangeal hypoplasia, Brachymesophalangism V, Fifth finger mid-phalanx hypoplasia, Hypoplastic fifth finger middle phalanx, Hypoplastic middle phalanx of the 5th finger, Hypoplastic/small middle phalanx of the 5th finger, Hypoplastic/small middle phalanx of the little finger, Short middle bone of the little finger, Short middle bone of the pinkie finger, Short middle bone of the pinky finger, Short middle phalanx of the little finger, Type A3 brachydactyly
Cone-shaped epiphysis of the distal phalanx of the 5th finger	Cone-shaped end part of the outermost little finger bone, Cone-shaped end part of the outermost pinkie finger bone, Cone-shaped end part of the outermost pinky finger bone, Cone-shaped epiphysis of the distal phalanx of the little finger
Ivory epiphysis of the distal phalanx of the 5th finger	Increased bone density of end part of the outermost little finger bone, Increased bone density of end part of the outermost pinkie finger bone, Increased bone density of end part of the outermost pinky finger bone, Ivory epiphysis of the distal phalanx of the little finger, Ivory epiphysis of the terminal phalanx of the little finger
Abnormality of the epiphysis of the middle phalanx of the 5th finger	Abnormality of the end part of middle little finger bone, Abnormality of the end part of middle pinkie finger bone, Abnormality of the end part of middle pinky finger bone
Abnormality of the distal phalanx of the 5th finger	Abnormality of the distal phalanx of the little finger, Abnormality of the outermost little finger bone, Abnormality of the outermost pinkie finger bone, Abnormality of the outermost pinky finger bone, Abnormality of the terminal phalanx of the little finger
Curved distal phalanx of the 5th finger	Curved outermost little finger bone, Curved outermost pinkie finger bone, Curved outermost pinky finger bone, Curved terminal phalanx of the little finger
Short distal phalanx of the 5th finger	Brachytelophalangism V, Fifth digit distal phalangeal hypoplasia, Hypoplastic/small terminal phalanx of the little finger, Short distal phalanx of the fifth finger, Short outermost little finger bone, Short outermost pinkie finger bone, Short outermost pinky finger bone
Subluxation of the proximal interphalangeal joint of the little finger	Partially dislocated innermost hinge joint of little finger, Partially dislocated innermost hinge joint of pinkie finger, Partially dislocated innermost hinge joint of pinky finger
Carpal bone aplasia	Absent carpal bone, Absent carpal bones, Absent carpal ossification center, Absent wrist bone, Aplastic carpal bone, Missing wrist bone
Accessory carpal bones	Extra wrist bones, Supernumerary carpal bones
Advanced ossification of carpal bones	Accelerated carpal bone maturation, Accelerated wrist bone maturation, Advanced carpal bone age, Advanced carpal ossification, Precociously ossified carpal bones
Bone-in-a-bone appearance of carpal bones	Bone-in-a-bone appearance of wrist bones
Comma-shaped carpal bones	Comma-shaped wrist bones
Irregular carpal bones	Irregular wrist bones
Large carpal bones	Large carpals, Large wrist bones
Lytic defects of carpal bones	
Proximally placed carpal bones	
Sclerotic foci within carpal bones	Hardened spots within wrist bones, Stiffened spots within wrist bones
Stippled calcification in carpal bones	Punctate calcifications of carpals
Broad carpal bones	Wide carpal bones, Wide wrist bones
Abnormality of the scaphoid	
Accessory scaphoid	
Comma-shaped scaphoid	
Delayed ossification of the scaphoid	Delayed maturation of the scaphoid
Small scaphoid	
Abnormality of the lunate bone	
Accessory lunate	
Proximally placed lunate	
Lunate-triquetral fusion	Lunotriquetral synostosis
Abnormality of the trapezium	
Absent trapezium	Absent trapezium bone
Delayed ossification of the trapezium	Delayed maturation of the trapezium
Small trapezium	
Abnormality of the trapezoid bone	
Delayed ossification of the trapezoid bone	Delayed maturation of the trapezoid bone
Small trapezoid bone	
Abnormality of the hamate bone	
Large hamate bone	Large unciform bone
Wide hamate bone	Broad hamate bone, Wide unciform bone
Abnormality of the capitate bone	
Large capitate bone	
Narrow carpal joint spaces	Decreased carpal joint angles
Narrow small joints of the hand	Narrow small joints of the hand
Osteoarthritis of the small joints of the hand	
Subluxation of the small joints of the hand	Partial dislocation of small joints of hand
Cortical thickening of hand bones	
Cortical thinning of hand bones	
Cupped metaphyses of hand bones	Cupped metaphysis of hand bones, Cupped wide portion of hand bones
Deficient ossification of hand bones	Deficient maturation of hand bones
Duplication of hand bones	Duplication of hand bones
Exostoses of hand bones	
Fractured hand bones	Broken hand bones, Fractured hand bones
Synostosis involving bones of the hand	Fused hand bones
Short palm	Hypoplastic hands, Short hands, Short palm, Short palms
Irregular ossification of hand bones	Irregular maturation of hand bones
Irregular sclerosis of hand bones	Increased bone density in hand bones
Narrow palm	Narrow hand, Narrow hands, Narrow palm
Notched hand bones	Notched hand bones
Overmodelled hand bones	
Patchy sclerosis of hand bones	Uneven increase in bone density in hand bones
Pointed hand bones	Pointed hand bones
Pseudoepiphyses of hand bones	
Sclerotic foci in hand bones	
Sclerosis of hand bones with transverse striations	
Stippled calcification of hand bones	
Undermodelled hand bones	
Synostosis of second metacarpal-trapezoid	Fusion of second metacarpal-trapezoid
Subluxation of metacarpal phalangeal joints	Partial knuckle dislocation, Subluxation of metacarpophalangeal joints
Abnormality of the gastric mucosa	Abnormality of the mucous membrane layer of stomach
Abnormality of gastrointestinal vasculature	Abnormality of GI blood vessels
Abnormality of the biliary system	
Abnormality of the abdominal wall	Abnormality of external features of the abdomen, Abnormality of the abdominal wall
Hernia of the abdominal wall	Herniated abdominal wall
Functional motor deficit	Functional motor problems
Abnormality of muscle fibers	Abnormal skeletal muscle fiber morphology
Involuntary movements	Involuntary movements, Involuntary muscle contractions
Abnormal endocardium morphology	Abnormality of the endocardium, Abnormality of the endomycoardium
Abnormal anatomic location of the heart	
Ventricular arrhythmia	Ventricular arrhythmias
Ventricular preexcitation	Pre-excitation syndrome, Preexcitation, Ventricular pre-excitation
Abnormal macrophage morphology	Abnormality of histiocytes, Abnormality of macrophages
Abnormality of reticulocytes	
Decreased antibody level in blood	Decreased immunoglobulin level, Decreased serum immunoglobulin, Hypogammaglobulinemia, Immunoglobulin deficiency, Reduced immunoglobulin levels
Decreased circulating IgG level	Decreased gamma-globin expression, Decreased IgG level, Decreased immunoglobulin G, Decreased serum IgG, IgG deficiency, Reduced IgG levels
Decreased circulating aldosterone level	Decreased aldosterone, Decreased aldosterone production, Decreased serum aldosterone, Hypoaldosteronism, Low blood aldosterone level, Mineralocorticoid insufficiency
Vaginal fistula	
Bladder fistula	
Short stature	Decreased body height, Height less than 3rd percentile, Short stature, Small stature, Stature below 3rd percentile
Abnormality of body weight	Abnormality of body weight, Abnormality of habitus
Increased body weight	Increased body weight, Weight gain
Decreased body weight	Decreased body weight, Decreased weight, Low body weight, Low weight, Weight less than 3rd percentile
Cachexia	Wasting syndrome
Abnormal vitreous humor morphology	
Abnormal anterior eye segment morphology	Abnormal anterior segment morphology, Abnormality of the anterior segment of the eye, Abnormality of the anterior segment of the eyeball, Abnormality of the anterior segment of the globe
Abnormal posterior eye segment morphology	Abnormal morphology of the posterior segment of the globe, Abnormality of the posterior segment of the eye, Abnormality of the posterior segment of the eyeball, Abnormality of the posterior segment of the globe
Increased skull ossification	Hyperossification of skull, Hyperostosis of skull, Increased calcification of skull, Increased Mineralization of skull, Sclerosis of bones of skull, Sclerosis of skull
Decreased skull ossification	Decreased bone formation of skull, Decreased calcification of skull, Decreased mineralization of skull, Deficient skull ossification, Hypoossification of skull, Ossification defect of skull, Poorly mineralized skull, Poorly ossified skull, Poorly ossified skull bones
Abnormal lymphocyte morphology	Abnormal lymphocytes, Abnormality of cells of the lymphoid lineage
Bone-marrow foam cells	Bone marrow foam cells, Large vacuolated foam cells ('NP cells') on bone marrow biopsy, Large vacuolated foam cells on bone marrow biopsy
Dermal atrophy	Atrophic skin, Skin atrophy, Skin degeneration
Myelin outfoldings	Excessive focal folding of myelin sheaths, Irregular myelin foldings
Abnormality of amino acid metabolism	Amino acid levels abnormal
Abnormal circulating aromatic amino acid concentration	Abnormality of aromatic amino acid family metabolism
Abnormal circulating sulfur amino acid concentration	Abnormality of sulfur-containing amino acids
Abnormality of vitamin B metabolism	Abnormality of B-vitamin metabolism
Abnormality of vitamin B12 metabolism	Abnormality of the vitamin B12 metabolism
Abnormality of galactoside metabolism	
Abnormality of glycosphingolipid metabolism	
Abnormality of cerebrosidase metabolism	
Ganglioside accumulation	
Weakness of muscles of respiration	
Abnormality of bone mineral density	Abnormality of bone mineralisation and ossification
Reduced bone mineral density	Decreased bone mineral density, Decreased bone mineral density Z score, Low solidness and mass of the bones
Abnormal circulating purine concentration	Abnormal circulating purine level
Abnormal circulating pyrimidine concentration	
Abnormal circulating carboxylic acid concentration	
obsolete Abnormality of proteoglycan metabolism	
Abnormality of lysosomal metabolism	
Abnormal circulating leucine concentration	
Abnormality of superoxide metabolism	
Abnormal circulating fatty-acid concentration	Abnormality of fatty acid metabolism, Fatty acids abnormal
Abnormality of acid-base homeostasis	Acid base imbalance
Abnormality of circulating leptin level	
Abnormality of enteric ganglion morphology	Abnormality of the enteric ganglia
Abnormal circulating calcium concentration	Abnormal blood calcium levels
Abnormal circulating nitrogen compound concentration	
Abnormal circulating tryptophan concentration	Abnormality of tryptophan metabolism
Abnormality of glycolysis	
Abnormality of glycoprotein metabolism	
Increased purine level	Increased purine levels
Decreased purine level	Decreased purine levels
Abnormality of temperature regulation	Abnormality of temperature regulation, Body temperature changes, Poor temperature regulation
Abnormality of glycosaminoglycan metabolism	
Reduced consciousness/confusion	Disturbances of consciousness, Lowered consciousness, Reduced consciousness/confusion
Focal dystonia	
Hemiplegia/hemiparesis	Paralysis or weakness of one side of body
Neoplasm of the nervous system	Neoplasia of the nervous system, Nervous system cancer, Tumor of the nervous system
Neuroblastic tumors	
Hematological neoplasm	Blood tumor
Abnormality of the anus	Abnormality of the anus
Abnormality of alkaline phosphatase activity	Alkaline phosphatase abnormal
Aortic valve calcification	
Supravalvular aortic stenosis	
Mitral valve calcification	
Hypoplastic left heart	Heart left ventricle hypoplasia, Left ventricular hypoplasia, Underdeveloped left heart
Type I truncus arteriosus	Persistent truncus arteriosus type I, Type 1 truncus arteriosus
Protracted diarrhea	
Gastrointestinal inflammation	Gastrointestinal inflammation
Enterocolitis	
Microcolon	Microcolon on contrast enema
Intestinal pseudo-obstruction	Intestinal pseudoobstruction
Hamartomatous polyposis	Gastrointestinal hamartoma, Gastrointestinal hamartomatous polyps, Hamartomatous polyps
Prune belly	Prune belly
Multiple gastric polyps	
Malnutrition	Malnutrition
Poor appetite	Decreased appetite, No appetite, Poor appetite
Ectopic anus	Abnormal anus position, Anus malposition
Peptic ulcer	Sore in the lining of gastrointestinal tract
Congenital pyloric atresia	
Abnormality of the pylorus	
Meconium ileus	Distal intestinal obstruction syndrome, Meconium ileus in neonates, Meconium ileus on ultrasonography
Proximal esophageal atresia	
Abnormal nipple morphology	Abnormality of the nipple
Prominent nipples	Prominent nipples
Spontaneous, recurrent epistaxis	Recurrent epistaxes, Recurrent epistaxis, Recurring nosebleed, Spontaneous, recurrent nosebleed
Bony paranasal bossing	
Abnormality of the sense of smell	Abnormal sense of smell, Abnormality of olfaction, Abnormality of the sense of smell, Smell defect
Hyposmia	Decreased smell sensation, Loss of smell, Sense of smell impaired
Deviated nasal septum	Crooked nasal septum, Crooked septum of nose, Deviated nasal septum, Deviated septum of nose
Abnormality of the pulmonary artery	Abnormality of lung artery
Pulmonary artery stenosis	Narrowing of lung artery
Precocious atherosclerosis	Premature atherosclerosis, Premature plaque build-up in arteries
Intermittent claudication	
Thrombophlebitis	
Recurrent thrombophlebitis	Recurrent phlebitis, Recurrent thrombosis
Arterial thrombosis	Blood clot in artery
Elevated systolic blood pressure	
Biparietal narrowing	Decreased width of the skull
Cranium bifidum occultum	
Flat forehead	Flat forehead, Flattened forehead, Frontal flattening
Abnormality of the cheek	Abnormality of the cheek, Abnormality of the cheeks, Anomaly of the cheeks, Deformity of the cheeks, Malformation of the cheeks
Elfin facies	Elf-like facial appearance, Elf-like facial features, Leprechaun facies
Recurrent viral infections	
Severe combined immunodeficiency	Immunodeficiency, severe combined
Complement deficiency	
Agammaglobulinemia	Agammaglobulinaemia
Secretory IgA deficiency	
C8 deficiency	
Cranial hyperostosis	Enlargement of skull bones, Excessive growth of skull bones, Hyperostosis of cranial bones, Hyperostosis of cranial vault, Hypertrophy of cranial bones, Increased ossification of cranial bones, Overgrowth of skull bones, Thick skull bones
Hyperostosis frontalis interna	Enlargement of the inner surface of the frontal bone, Excessive growth of inner surface of the frontal bone, Hyperostosis of the internal surface of the frontal bone, Hypertrophy of the internal surface of the frontal bone, Increased ossification of the internal surface of the frontal bone, Overgrowth of the inner surface of the frontal bone, Overgrowth of the inside of the frontal bone, Thick inner surface of the frontal bone, Thick internal surface of the frontal bone
Craniofacial dysostosis	Crouzon syndrome
Coronal craniosynostosis	Coronal suture craniosynostosis, Coronal suture synostosis, Craniosynostosis of coronal suture
Sagittal craniosynostosis	Craniosynostosis, sagittal, Craniosynostosis, sagittal suture, Early closure of midline skull joint, Midline skull joint closes early, Sagittal suture synostosis
Lambdoidal craniosynostosis	Lambdoid suture craniosynostosis, Lambdoid suture synostosis
Spherocytosis	
Elliptocytosis	Elliptocyte, Hereditary elliptocytosis, Ovalocytosis
Stomatocytosis	erythrocyte stomatocytes, Red cell stomatocytosis
Poikilocytosis	
Fulminant hepatic failure	
Preauricular skin furrow	Preauricular skin furrows, Preauricular skin groove, Preauricular skin sulcus, Skin groove behind the ear, Skin sulcus behind the ear
Postauricular skin tag	Postauricular acrochordon, Postauricular fibroepithelial polyp, Skin tag behind the ear
Abnormality of the middle ear ossicles	Malformed ossicles, Ossicular malformation
Overfolding of the superior helices	Overfolding of superior helix, Reduced anterior-posterior diameter of vertebral bodies
Abnormal middle ear reflexes	
Dilatated internal auditory canal	Bulbous internal auditory canal, Enlarged internal auditory canal
Exostosis of the external auditory canal	External auditory canal exostoses
Congenital earlobe sinuses	Posterior wedging
Absent brainstem auditory responses	No auditory brainstem response
Postauricular pit	Pit behind the ear, Postauricular earpits, Postauricular fistula, Posterior auricular pit, Posterior auricular sinus
Prolonged brainstem auditory evoked potentials	
Preauricular pit	Ear pit, Pit in front of the ear, Preauricular earpits, Preauricular fistulas, Preauricular pits, Preauricular sinus
Anomalous tracheal cartilage	Abnormal tracheal cartilaginous ring
Chronic bronchitis	
Atretic occipital cephalocele	
Aplasia cutis congenita over the scalp vertex	Absent cutis congenita of vertex, Aplasia cutis congenita of vertex
Mandibular hyperostosis	Excessive growth of mandibular bone, Hyperostosis of lower jaw, Hyperostosis of mandibular bone, Increased ossification of lower jaw, Increased ossification of mandible, Increased ossification of mandibular bone, Overgrowth of mandibular bone, Thick lower jaw bone, Thick mandibular bone
Persistent open anterior fontanelle	Anterior fontanelle open in adults, Front fontanelle stays open, Persistent, open anterior fontanel
Aplasia cutis congenita over parietal area	Absent cutis congenita over parietal area
Ethmoidal encephalocele	
Progressive macrocephaly	Macrocephaly, progressive, Progressively abnormally enlarging cranium, Progressively abnormally enlarging skull
Relative macrocephaly	Disproportionately large head, Macrocephaly, relative, Relatively large head
Craniofacial asymmetry	Abnormality of craniofacial shape, Malformation of craniofacial shape, Uneven craniofacial structures
Cessation of head growth	Cranium stopped growing, Head stopped growing, Skull stopped growing
Acrobrachycephaly	
Macrocephaly at birth	Big cranium present at birth, Big cranium present since birth, Big head present at birth, Big head present since birth, Big skull present at birth, Big skull present since birth, Congenital large cranium, Congenital large head, Congenital large skull, Congenital macrocephaly, Head circumference large for gestational age, Large cranium present at birth, Large cranium present since birth, Large head present at birth, Large head present since birth, Large skull present at birth, Large skull present since birth
Calvarial hyperostosis	Enlargement of calvarial bones, Excessive growth of calvarial bones, Hyperostosis of calvarial bones, Hypertrophy of calvarial bones, Increased ossification of calvarial bones, Overgrowth of calvarial bones, Overgrowth of skullcap, Thick calvarial bones
Large posterior fontanelle	Large posterior fontanel
Widely patent fontanelles and sutures	Widely patent fontanels and sutures
Craniofacial hyperostosis	Enlargement of craniofacial bones, Excessive bone growth of the skull and face, Excessive growth of craniofacial bones, Hyperostosis of craniofacial bones, Hypertrophy of craniofacial bones, Increased ossification of craniofacial bones, Overgrowth of craniofacial bones, Thick craniofacial bones
Thin anteverted nares	
Posterior choanal atresia	
Chronic rhinitis due to narrow nasal airway	Chronic nasal inflammation due to narrow nasal airway
Bilateral choanal atresia	Bilateral blockage of the rear opening of the nasal cavity, Bilateral obstruction of the rear opening of the nasal cavity
Pancreatic islet-cell hyperplasia	Hyperplastic islets of langerhans, Hypertrophic pancreatic islets, Islet of Langerhans hyperplasia, Islets of langerhans hypertrophy, Pancreatic islet-cell hypertrophy
Long eyebrows	Elongated eyebrow, Increased horizontal length of eyebrow, Increased transverse length of eyebrow, Long eyebrows
Temporal hypotrichosis	Reduced hair growth in temporal region
Large clumps of pigment irregularly distributed along hair shaft	Large clumps of pigment irregularly distributed along hair shaft
Generalized hypotrichosis	Hypotrichosis, generalized
Atrophic, patchy alopecia	
Sacral hypertrichosis	
Anterior cervical hypertrichosis	Congenital cervical hypertrichosis, Hypertrichosis, congenital anterior cervical
Congenital, generalized hypertrichosis	Congenital generalized hypertrichosis, Hypertrichosis universalis
Pointed frontal hairline	Pointed hairline at front of head
Scarring alopecia of scalp	Cicatricial alopecia, Hair loss on scalp from scarring condition
Generalized hypertrichosis	
Anterior vertebral fusion	
Cervical platyspondyly	Flattened cervical vertebral bodies
Beaking of vertebral bodies T12-L3	
Increased spinal bone density	Compact spinal bone, Concrete spinal bone, Dense spinal bone, Eburnation of spinal bone, Increased density of spinal bone, increased spinal bone density Z, Ivory spinal bone, Sclerosis of spinal bone
Severe platyspondyly	platyspondyly, extreme
Pear-shaped vertebrae	Pear-shaped vertebral bodies
Beaking of vertebral bodies	anterior beaking, Anterior beaking of vertebrae, Anterior beaking of vertebral bodies, anterior wedging, Beaked vertebral bodies, Vertebral tongue-like protrusion, Wedged vertebrae
Increased vertebral height	Tall vertebral bodies
Widening of cervical spinal canal	
Anterior wedging of T11	Anterior wedging of the 11th thoracic vertebra, Wedge-shaped 11th thoracic vertebra
Fusion of midcervical facet joints	
Sclerotic vertebral endplates	Large joint contractures
Anterior scalloping of vertebral bodies	Anterior scalloping vertebral bodies
Increased anterior vertebral height	
Irregularity of vertebral bodies	
Biconcave vertebral bodies	Biconcave 'codfish' vertebrae, Biconcave vertebrae, Codfish vertebrae, Fish vertebrae, Scalloping of vertebral bodies
Dysplasia of second lumbar vertebra	
Hypoplastic sacrum	Small sacrum
Disc-like vertebral bodies	
Thoracic platyspondyly	
Hump-shaped mound of bone in central and posterior portions of vertebral endplate	
Supernumerary vertebral ossification centers	
Absent or minimally ossified vertebral bodies	
Spina bifida occulta at L5	
Cervical C2/C3 vertebral fusion	Fusion of cervical vertebrae c2-3, Klippel-Feil syndrome
Hyperconvex vertebral body endplates	
Absent vertebral body mineralization	
Unossified vertebral bodies	
Anterior beaking of lower thoracic vertebrae	
Anteriorly placed odontoid process	
Patchy distortion of vertebrae	
Lumbar spinal canal stenosis	Lumbar spinal stenosis, Narrow lumbar spinal canal
Anterior concavity of thoracic vertebrae	Anteriorly concave vertebrae
Spina bifida occulta at S1	
Cleft vertebral arch	Cleft vertebral arches
Butterfly vertebral arch	
Sandwich appearance of vertebral bodies	
Lumbar kyphoscoliosis	
Enlarged vertebral pedicles	
Progressive intervertebral space narrowing	
Biconvex vertebral bodies	
Lumbar scoliosis	
Small cervical vertebral bodies	Small cervical vertebrae
Anterior beaking of thoracic vertebrae	
Decreased cervical spine flexion due to contractures of posterior cervical muscles	Contracture of post-cervical muscles, Inability to touch chin to chest
Cervical segmentation defect	Cervical spine segmentation defect
Lower thoracic kyphosis	Round mid-back
Cuboid-shaped vertebral bodies	Cuboid vertebral bodies
Cervical C5/C6 vertebrae fusion	
Decreased cervical spine mobility	Limited neck movement
Elevated amniotic fluid alpha-fetoprotein	Elevated amniotic fluid alpha fetal protein, Elevated amniotic fluid alpha-1-fetoprotein, Elevated amniotic fluid alpha-fetoglobulin
Hypoplasia of the nasal bone	Decreased size of nasal bone, Deficiency of nasal bone, Hypotrophic nasal bone, Nasal bone hypoplasia, Small nasal bone, Underdevelopment of nasal bone
Hypoplasia of facial musculature	Atrophy of facial musculature, Decreased size of facial muscles, Deficiency of facial musculature, Hypotrophic facial musculature, Small facial muscles, Underdevelopment of facial muscles
Frontalis muscle weakness	Weak frontalis muscle, Weakness of forehead muscle
Facial midline hemangioma	
Decreased facial expression	Decreased facial expression
Prominent supraorbital arches in adult	
Large tarsal bones	Large ankle bones
Deep longitudinal plantar crease	Foot crease, Longitudinal groove on soles
Talipes valgus	
Short third metatarsal	Hypoplasia of the 3rd metatarsal bone, Short 3rd long bone of foot
Irregular tarsal bones	Abnormal shape of ankle bones
Short fourth metatarsal	Bilateral fourth metatarsal shortening, Short 4th long bone of foot, Short fourth metatarsals, Short fourth metatarsus
Thickened Achilles tendon	Thickened Achilles tendon
2-3 toe syndactyly	2-3 syndactyly of feet, 2-3 toe soft tissue syndactyly, 2-3 toes syndactyly, Complete cutaneous syndactyly of second and third toes, Cutaneous 2,3 toe syndactyly, Cutaneous syndactyly of second and third toes, partial or complete syndactyly 2nd-3rd toes, Syndactyly of second and third toes, Toe syndactyly, 2-3, Webbed 2nd and 3rd toes
4-5 toe syndactyly	Symmetric syndactyly, toes 4 and 5, Syndactyly of toes 4 and 5, Webbed 4th-5th toes
Calcaneal epiphyseal stippling	
Talipes cavus equinovarus	
Osteoporotic metatarsal	
Short fifth metatarsal	Hypoplasia of the fifth metatarsal bone, Short 5th long bone of foot
Renal malrotation	Abnormal rotation of the kidneys, Malrotation of the kidney
Reversible renal failure	Reversible kidney failure, Reversible renal failure
Axial malrotation of the kidney	
Hyperechogenic kidneys	
Thickening of the glomerular basement membrane	
Calcium nephrolithiasis	Calcium kidney stone
Impaired renal concentrating ability	Urine concentrating defect, Urine concentration defect
Acute tubulointerstitial nephritis	
Impaired renal uric acid clearance	
Renal cortical microcysts	Cortical microcysts, Multiple renal cortical microcysts, Multiple small renal cortical cysts
Crossed fused renal ectopia	Ectopic kidney with fusion
Global glomerulosclerosis	
Abnormality of the renal collecting system	Abnormal collecting system, Renal collecting system anomalies
Chronic tubulointerstitial nephritis	
Glomerular subendothelial electron-dense deposits	Dense deposit disease, Membranoproliferative glomerulonephritis type II
Atrial flutter	
Paroxysmal ventricular tachycardia	Episodes of ventricular tachycardia
Congenital atrioventricular dissociation	
Permanent atrial fibrillation	Chronic atrial fibrillation
Supraventricular tachycardia	Supraventricular tachyarrhythmia, SVT
Ventricular tachycardia	
Paroxysmal atrial fibrillation	Atrial fibrillation, paroxysmal
Effort-induced polymorphic ventricular tachycardias	
obsolete Nodular calcific aortic valve disease	
obsolete Congenital septal defect	
Post-angioplasty coronary artery restenosis	
Hypoplasia of right ventricle	Heart right ventricle hypoplasia, Small right heart chamber, Underdeveloped right heart chamber
Paroxysmal supraventricular tachycardia	Episodic rapid heart beat, Episodic supraventricular tachycardia
Myxomatous mitral valve degeneration	
Sparse anterior scalp hair	Sparse scalp hair at front of head, Thin scalp hair at front of head
Premature graying of body hair	Premature graying of body hair
Brittle scalp hair	Brittle scalp hair
Elbow hypertrichosis	Hairy elbow, Hairy elbow syndrome, Hypertrichosis cubiti
Hypotrichosis of the scalp	Hypotrichosis on scalp, Reduced/lack of hair on scalp, Scalp hypotrichosis
Duodenal polyposis	Multiple duodenal polyps
Juvenile gastrointestinal polyposis	
Malrotation of colon	
Jejunal diverticula	
Fulminant hepatitis	
Intestinal lymphedema	
Lactose intolerance	Lactose intolerance, Milk intolerance
Hypoplasia of the small intestine	Underdeveloped small intestine
Esophageal ulceration	Esophagus ulcer, Oesophagus ulceration
Rectoperineal fistula	
Malrotation of small bowel	Malrotation of the small intestine
Hamartomatous stomach polyps	
Gastrointestinal obstruction	Gastrointestinal obstruction, Obstruction in digestive tract
Multiple small bowel atresias	
