PMID	Text
19025200	Checklist assessments of FMR1 gene mutation phenotypes.          Fragile X Syndrome (FXS) caused by the mutation of the FMR1 gene, is the most common inherited cause of intellectual disability, autism, and other psychoneurological disorders. Timely identification of young children with social or emotional challenges is urged in that emotional and social problems are often overlooked until problems reach serious magnitudes. Reliable methods of screening children at an earlier age are crucial to early intervention.          
17166801	Fragile-X syndrome and fragile X-associated tremor/ataxia syndrome: two faces of FMR1.          Recent advances in our understanding of the clinical and molecular features of the fragile-X mental-retardation 1 gene, FMR1, highlight the importance of single-gene disorders. 15 years after its discovery, FMR1 continues to reveal new and unexpected clinical presentations and molecular mechanisms. Loss of function of FMR1 is a model for neurodevelopmental and behavioural disorders, including mental retardation, autism, anxiety, and mood instability. In addition, overexpression and CNS toxicity of FMR1 mRNA causes a late-onset neurodegenerative disorder, the fragile-X-associated tremor/ataxia syndrome (FXTAS). A similar mechanism is probably involved in premature ovarian failure, which affects up to 20% of female carriers of an altered FMR1 gene.        
17166860	Amygdala dysfunction in men with the fragile X premutation.          Premutation alleles (55-200 CGG repeats) of the fragile X mental retardation 1 (FMR1) gene are associated with autism spectrum disorder in childhood, premature ovarian failure, and the neurodegenerative disorder, fragile X-associated tremor/ataxia syndrome (FXTAS). FXTAS, and perhaps the other clinical presentations among carriers, are thought to be due to toxic gain-of-function of elevated levels of the expanded-repeat FMR1 mRNA. Previous structural MRI studies have implicated the amygdala as a potential site of dysfunction underlying social deficits and/or risk for FXTAS. As a preliminary investigation of this possible association, adult males with the premutation, and male controls matched for IQ, age and education, completed three protocols that probe amygdala and sympathetic function: (i) a functional MRI paradigm that measures brain response to fearful faces; (ii) a fear-potentiated startle paradigm that differentiates responses to fearful faces and fearful non-social images and (iii) measurement of skin conductance level during a brief social encounter. Compared with controls, men with the FMR1 premutation demonstrated diminished brain activation in the amygdala and several brain areas that mediate social cognition while viewing fearful faces. The reduced amygdala activation in the premutation group was significantly associated with self-report of psychological symptoms on the Symptom Checklist-90--Revised. These men also displayed a lack of startle potentiation while viewing fearful faces and showed reduced skin conductance response when greeting an unfamiliar experimenter in comparison with the control group. The current findings may be related to social cognition deficits reported previously in children and adults with the premutation. The aetiology for this dysfunction may be elevated FMR1 mRNA or reduced FMR1 protein that occurs in carriers with higher premutation CGG repeat alleles.        
24008143	Developmental changes in expression of inhibitory neuronal proteins in the Fragile X Syndrome mouse basolateral amygdala.         Autism, Basolateral amygdala, Development, Fragile X Syndrome, GABA(A) receptor, Inhibitory synapse In humans, Fragile X Syndrome (FXS) is characterized by enhanced fear, hyperactivity, social anxiety, and, in a subset of individuals, autism. Many of the emotional and social deficits point to defects in the amygdala. We have previously shown defects in inhibitory neuron drive onto excitatory projection neurons in the basolateral amygdala (BLA) of juvenile Fmr1(-/y) knockout (KO) mice. Using pharmacological approaches, we have also previously revealed dynamic functional deficits in α1, α2, and α3 subunit-containing GABAA receptors (GABAARs α1, α2, and α3) during early postnatal development. In this study, we sought to determine whether these defects in GABAAR function are accompanied by changes in protein expression of GABAARs α1, α2, and α3 and the post-synaptic GABAAR-clustering protein gephyrin. Interestingly, we found that while the expression of these proteins did not significantly differ between wildtype (WT) and KO mice at each time point, the timing of developmental expression of GABAAR α1, α2, and gephyrin was altered. Collectively, these data reveal novel defects in inhibitory synapse protein expression during critical periods of early postnatal development that could contribute to observed inhibitory neurotransmission deficits in the KO mouse BLA.          
26888925	Selective Disruption of Metabotropic Glutamate Receptor 5-Homer Interactions Mimics Phenotypes of Fragile X Syndrome in Mice.         Homer, LTD, UP states, fragile X syndrome, mGluR5, protein synthesis Altered function of the Gq-coupled, Group 1 metabotropic glutamate receptors, specifically mGlu5, is implicated in multiple mouse models of autism and intellectual disability. mGlu5 dysfunction has been most well characterized in the fragile X syndrome mouse model, the Fmr1 knock-out (KO) mouse, where pharmacological and genetic reduction of mGlu5 reverses many phenotypes. mGlu5 is less associated with its scaffolding protein Homer in Fmr1 KO mice, and restoration of mGlu5-Homer interactions by genetic deletion of a short, dominant negative of Homer, H1a, rescues many phenotypes of Fmr1 KO mice. These results suggested that disruption of mGlu5-Homer leads to phenotypes of FXS. To test this idea, we examined mice with a knockin mutation of mGlu5 (F1128R; mGlu5(R/R)) that abrogates binding to Homer. Although FMRP levels were normal, mGlu5(R/R) mice mimicked multiple phenotypes of Fmr1 KO mice, including reduced mGlu5 association with the postsynaptic density, enhanced constitutive mGlu5 signaling to protein synthesis, deficits in agonist-induced translational control, protein synthesis-independent LTD, neocortical hyperexcitability, audiogenic seizures, and altered behaviors, including anxiety and sensorimotor gating. These results reveal new roles for the Homer scaffolds in regulation of mGlu5 function and implicate a specific molecular mechanism in a complex brain disease.          
21090964	Toward fulfilling the promise of molecular medicine in fragile X syndrome.          Fragile X syndrome (FXS) is the most common inherited form of mental retardation and a leading known cause of autism. It is caused by loss of expression of the fragile X mental retardation protein (FMRP), an RNA-binding protein that negatively regulates protein synthesis. In neurons, multiple lines of evidence suggest that protein synthesis at synapses is triggered by activation of group 1 metabotropic glutamate receptors (Gp1 mGluRs) and that many functional consequences of activating these receptors are altered in the absence of FMRP. These observations have led to the theory that exaggerated protein synthesis downstream of Gp1 mGluRs is a core pathogenic mechanism in FXS. This excess can be corrected by reducing signaling by Gp1 mGluRs, and numerous studies have shown that inhibition of mGluR5, in particular, can ameliorate multiple mutant phenotypes in animal models of FXS. Clinical trials based on this therapeutic strategy are currently under way. FXS is therefore poised to be the first neurobehavioral disorder in which corrective treatments have been developed from the bottom up: from gene identification to pathophysiology in animals to novel therapeutics in humans. The insights gained from FXS and other autism-related single-gene disorders may also assist in identifying molecular mechanisms and potential treatment approaches for idiopathic autism.        
21784246	FMRP stalls ribosomal translocation on mRNAs linked to synaptic function and autism.          FMRP loss of function causes Fragile X syndrome (FXS) and autistic features. FMRP is a polyribosome-associated neuronal RNA-binding protein, suggesting that it plays a key role in regulating neuronal translation, but there has been little consensus regarding either its RNA targets or mechanism of action. Here, we use high-throughput sequencing of RNAs isolated by crosslinking immunoprecipitation (HITS-CLIP) to identify FMRP interactions with mouse brain polyribosomal mRNAs. FMRP interacts with the coding region of transcripts encoding pre- and postsynaptic proteins and transcripts implicated in autism spectrum disorders (ASD). We developed a brain polyribosome-programmed translation system, revealing that FMRP reversibly stalls ribosomes specifically on its target mRNAs. Our results suggest that loss of a translational brake on the synthesis of a subset of synaptic proteins contributes to FXS. In addition, they provide insight into the molecular basis of the cognitive and allied defects in FXS and ASD and suggest multiple targets for clinical intervention.          
21795546	Abnormal presynaptic short-term plasticity and information processing in a mouse model of fragile X syndrome.          Fragile X syndrome (FXS) is the most common inherited form of intellectual disability and the leading genetic cause of autism. It is associated with the lack of fragile X mental retardation protein (FMRP), a regulator of protein synthesis in axons and dendrites. Studies on FXS have extensively focused on the postsynaptic changes underlying dysfunctions in long-term plasticity. In contrast, the presynaptic mechanisms of FXS have garnered relatively little attention and are poorly understood. Activity-dependent presynaptic processes give rise to several forms of short-term plasticity (STP), which is believed to control some of essential neural functions, including information processing, working memory, and decision making. The extent of STP defects and their contributions to the pathophysiology of FXS remain essentially unknown, however. Here we report marked presynaptic abnormalities at excitatory hippocampal synapses in Fmr1 knock-out (KO) mice leading to defects in STP and information processing. Loss of FMRP led to enhanced responses to high-frequency stimulation. Fmr1 KO mice also exhibited abnormal synaptic processing of natural stimulus trains, specifically excessive enhancement during the high-frequency spike discharges associated with hippocampal place fields. Analysis of individual STP components revealed strongly increased augmentation and reduced short-term depression attributable to loss of FMRP. These changes were associated with exaggerated calcium influx in presynaptic neurons during high-frequency stimulation, enhanced synaptic vesicle recycling, and enlarged readily-releasable and reserved vesicle pools. These data suggest that loss of FMRP causes abnormal STP and information processing, which may represent a novel mechanism contributing to cognitive impairments in FXS.        
21795626	Impaired inhibitory control of cortical synchronization in fragile X syndrome.          Fragile X syndrome (FXS) is a neurodevelopmental disorder characterized by severe cognitive impairments, sensory hypersensitivity, and comorbidities with autism and epilepsy. Fmr1 knockout (KO) mouse models of FXS exhibit alterations in excitatory and inhibitory neurotransmission, but it is largely unknown how aberrant function of specific neuronal subtypes contributes to these deficits. In this study we show specific inhibitory circuit dysfunction in layer II/III of somatosensory cortex of Fmr1 KO mice. We demonstrate reduced activation of somatostatin-expressing low-threshold-spiking (LTS) interneurons in response to the group I metabotropic glutamate receptor (mGluR) agonist 3,5-dihydroxyphenylglycine (DHPG) in Fmr1 KO mice, resulting in impaired synaptic inhibition. Paired recordings from pyramidal neurons revealed reductions in synchronized synaptic inhibition and coordinated spike synchrony in response to DHPG, indicating a weakened LTS interneuron network in Fmr1 KO mice. Together, these findings reveal a functional defect in a single subtype of cortical interneuron in Fmr1 KO mice. This defect is linked to altered activity of the cortical network in line with the FXS phenotype.        
28815939	Paternal transmission of a FMR1 full mutation allele.         FXS, full mutation, paternal transmission, somatic expansion Fragile X syndrome (FXS) is the most common form of inherited intellectual disability (ID) and autism. In most of cases, the molecular basis of this syndrome is a CGG repeat expansion in the 5' untranslated region of the FMR1 gene. It is inherited as an X linked dominant trait, with a reduced penetrance (80% for males and 30% for females). Full mutation (FM) expansion from premutated alleles (PM) is only acquired via maternal meiosis, while paternal transmission always remains in the PM range. We present a 16-year-old girl with a mild fragile X syndrome phenotype. FMR1 gene study showed that the patient inherited a mosaic premutation-full mutation with an unmethylated uninterrupted allele (175, >200 CGG) from her father. The father showed an 88 CGG uninterrupted unmethylated allele in blood and sperm cells. To our knowledge, this is the first case of a FMR1 mosaic premutation-full mutation allele inherited from a PM father. In our opinion, the most likely explanation could be a postzygotic somatic expansion. We can conclude that in rare cases of a child with a full mutation whose mother does not carry a premutation, the possibility of paternal transmission should be considered.          
28823556	Excess Translation of Epigenetic Regulators Contributes to Fragile X Syndrome and Is Alleviated by Brd4 Inhibition.         Brd4, FMRP, FXS, chromatin, histones Fragile X syndrome (FXS) is a leading genetic cause of intellectual disability and autism. FXS results from the loss of function of fragile X mental retardation protein (FMRP), which represses translation of target transcripts. Most of the well-characterized target transcripts of FMRP are synaptic proteins, yet targeting these proteins has not provided effective treatments. We examined a group of FMRP targets that encode transcriptional regulators, particularly chromatin-associated proteins. Loss of FMRP in mice results in widespread changes in chromatin regulation and aberrant gene expression. To determine if targeting epigenetic factors could reverse phenotypes associated with the disorder, we focused on Brd4, a BET protein and chromatin reader targeted by FMRP. Inhibition of Brd4 function alleviated many of the phenotypes associated with FXS. We conclude that loss of FMRP results in significant epigenetic misregulation and that targeting transcription via epigenetic regulators like Brd4 may provide new treatments for FXS.          
28826631	Multifarious Functions of the Fragile X Mental Retardation Protein.         Fragile X syndrome (FXS), activity-dependent critical period, autism spectrum disorder (ASD), synapse, translation regulation Fragile X syndrome (FXS), a heritable intellectual and autism spectrum disorder (ASD), results from the loss of Fragile X mental retardation protein (FMRP). This neurodevelopmental disease state exhibits neural circuit hyperconnectivity and hyperexcitability. Canonically, FMRP functions as an mRNA-binding translation suppressor, but recent findings have enormously expanded its proposed roles. Although connections between burgeoning FMRP functions remain unknown, recent advances have extended understanding of its involvement in RNA, channel, and protein binding that modulate calcium signaling, activity-dependent critical period development, and the excitation-inhibition (E/I) neural circuitry balance. In this review, we contextualize 3 years of FXS model research. Future directions extrapolated from recent advances focus on discovering links between FMRP roles to determine whether FMRP has a multitude of unrelated functions or whether combinatorial mechanisms can explain its multifaceted existence.          
28829283	Fragile X Mental Retardation-1 Knockout Zebrafish Shows Precocious Development in Social Behavior.         fragile X mental retardation protein, shoaling preference behavior, social behavior, zebrafish Fragile X syndrome (FXS) is a generally hereditary form of human mental retardation that is caused by triplet repeat expansion (CGG) mutation in fragile X mental retardation 1 (fmr1) gene promoter and that results in the absence of the fragile X mental retardation protein (FMRP) expression. The common symptoms of FXS patients include learning disabilities, anxiety, autistic behaviors, as well as other behavioral abnormalities. Our previous results demonstrated the behavioral abnormalities in fmr1 knockout (KO) zebrafish such as fear memory impairment and autism-like behavior. Here, we studied the functional role of fmr1 gene on the development of social behavior by behavioral experiments, including shoaling behavior, shoaling preference, light/dark test, and novel tank task. Our results demonstrated that precocious development of shoaling behavior is found in fmr1 KO zebrafish without affecting the shoaling preference on conspecific zebrafish. The shoaling behavior appeared after 14 days postfertilization (dpf), and the level of shoaling elevated in fmr1 KO zebrafish. Furthermore, the fmr1 KO zebrafish at 28 dpf expressed higher anxiety level in novel tank task. These results suggest that the change of shoaling behavior in fmr1 KO zebrafish may result from hyperactivity and an increase of anxiety.        
17519220	Genome-wide expression profiling of lymphoblastoid cell lines distinguishes different forms of autism and reveals shared pathways.          Autism is a heterogeneous condition that is likely to result from the combined effects of multiple genetic factors interacting with environmental factors. Given its complexity, the study of autism associated with Mendelian single gene disorders or known chromosomal etiologies provides an important perspective. We used microarray analysis to compare the mRNA expression profile in lymphoblastoid cells from males with autism due to a fragile X mutation (FMR1-FM), or a 15q11-q13 duplication (dup(15q)), and non-autistic controls. Gene expression profiles clearly distinguished autism from controls and separated individuals with autism based on their genetic etiology. We identified 68 genes that were dysregulated in common between autism with FMR1-FM and dup(15q). We also identified a potential molecular link between FMR1-FM and dup(15q), the cytoplasmic FMR1 interacting protein 1 (CYFIP1), which was up-regulated in dup(15q) patients. We were able to confirm this link in vitro by showing common regulation of two other dysregulated genes, JAKMIP1 and GPR155, downstream of FMR1 or CYFIP1. We also confirmed the reduction of the Jakmip1 protein in Fmr1 knock-out mice, demonstrating in vivo relevance. Finally, we showed independent confirmation of roles for JAKMIP1 and GPR155 in autism spectrum disorders (ASDs) by showing their differential expression in male sib pairs discordant for idiopathic ASD. These results provide evidence that blood derived lymphoblastoid cells gene expression is likely to be useful for identifying etiological subsets of autism and exploring its pathophysiology.        
24408886	Analysis of FMR1 deletion in a subpopulation of post-mitotic neurons in mouse cortex and hippocampus.         Fmr1, Fragile X Syndrome, Nse-Cre, autism, mental retardation, synaptic plasticity Fragile X syndrome (FXS) is the most common form of inherited mental retardation and the leading cause of autism. FXS is caused by mutation in a single gene, FMR1, which encodes an RNA-binding protein FMRP. FMRP is highly expressed in neurons and is hypothesized to have a role in synaptic structure, function, and plasticity by regulating mRNAs that encode pre- and post-synaptic proteins. Fmr1 knockout (KO) mice have been used as a model to study FXS. These mice have been reported to show a great degree of phenotypic variability based on the genetic background, environmental signals, and experimental methods. In this study, we sought to restrict FMRP deletion to two brain regions that have been implicated in FXS and autism. We show that ablating Fmr1 in differentiated neurons of hippocampus and cortex results in dendritic alterations and changes in synaptic marker intensity that are brain region specific. In our conditional mutant mice, FMRP-deleted neurons have activated AKT-mTOR pathway signaling in hippocampus but display no apparent behavioral phenotypes. These results highlight the importance of identifying additional factors that interact with Fmr1 to develop FXS.          
24423648	GABAergic circuit dysfunction in the Drosophila Fragile X syndrome model.         Associative learning, Calcium signaling, Fragile X mental retardation protein (FMRP), Glutamic acid decarboxylase, Mushroom Body, Synapse Fragile X syndrome (FXS), caused by loss of FMR1 gene function, is the most common heritable cause of intellectual disability and autism spectrum disorders. The FMR1 protein (FMRP) translational regulator mediates activity-dependent control of synapses. In addition to the metabotropic glutamate receptor (mGluR) hyperexcitation FXS theory, the GABA theory postulates that hypoinhibition is causative for disease state symptoms. Here, we use the Drosophila FXS model to assay central brain GABAergic circuitry, especially within the Mushroom Body (MB) learning center. All 3 GABAA receptor (GABAAR) subunits are reportedly downregulated in dfmr1 null brains. We demonstrate parallel downregulation of glutamic acid decarboxylase (GAD), the rate-limiting GABA synthesis enzyme, although GABAergic cell numbers appear unaffected. Mosaic analysis with a repressible cell marker (MARCM) single-cell clonal studies show that dfmr1 null GABAergic neurons innervating the MB calyx display altered architectural development, with early underdevelopment followed by later overelaboration. In addition, a new class of extra-calyx terminating GABAergic neurons is shown to include MB intrinsic α/β Kenyon Cells (KCs), revealing a novel level of MB inhibitory regulation. Functionally, dfmr1 null GABAergic neurons exhibit elevated calcium signaling and altered kinetics in response to acute depolarization. To test the role of these GABAergic changes, we attempted to pharmacologically restore GABAergic signaling and assay effects on the compromised MB-dependent olfactory learning in dfmr1 mutants, but found no improvement. Our results show that GABAergic circuit structure and function are impaired in the FXS disease state, but that correction of hypoinhibition alone is not sufficient to rescue a behavioral learning impairment.           
23436049	Reorganization of circuits underlying cerebellar modulation of prefrontal cortical dopamine in mouse models of autism spectrum disorder.          Imaging, clinical, and pre-clinical studies have provided ample evidence for a cerebellar involvement in cognitive brain function including cognitive brain disorders, such as autism and schizophrenia. We previously reported that cerebellar activity modulates dopamine release in the mouse medial prefrontal cortex (mPFC) via two distinct pathways: (1) cerebellum to mPFC via dopaminergic projections from the ventral tegmental area (VTA) and (2) cerebellum to mPFC via glutamatergic projections from the mediodorsal and ventrolateral thalamus (ThN md and vl). The present study compared functional adaptations of cerebello-cortical circuitry following developmental cerebellar pathology in a mouse model of developmental loss of Purkinje cells (Lurcher) and a mouse model of fragile X syndrome (Fmr1 KO mice). Fixed potential amperometry was used to measure mPFC dopamine release in response to cerebellar electrical stimulation. Mutant mice of both strains showed an attenuation in cerebellar-evoked mPFC dopamine release compared to respective wildtype mice. This was accompanied by a functional reorganization of the VTA and thalamic pathways mediating cerebellar modulation of mPFC dopamine release. Inactivation of the VTA pathway by intra-VTA lidocaine or kynurenate infusions decreased dopamine release by 50 % in wildtype and 20-30 % in mutant mice of both strains. Intra-ThN vl infusions of either drug decreased dopamine release by 15 % in wildtype and 40 % in mutant mice of both strains, while dopamine release remained relatively unchanged following intra-ThN md drug infusions. These results indicate a shift in strength towards the thalamic vl projection, away from the VTA. Thus, cerebellar neuropathologies associated with autism spectrum disorders may cause a reduction in cerebellar modulation of mPFC dopamine release that is related to a reorganization of the mediating neuronal pathways.        
23458504	Altered auditory processing in a mouse model of fragile X syndrome.          This study provides the first description of auditory cortical processing in a mouse model of Fragile X Syndrome (FXS). FXS is a genetic cause of intellectual impairment and is an autism spectrum disorder. Human studies with auditory evoked potentials indicate that FXS is associated with abnormal auditory processing. The Fmr1 knock-out (KO) mouse is a useful model for studying FXS. The KO mice show acoustic hypersensitivity and propensity for audiogenic seizures, suggesting altered auditory responses. However, the nature of changes at the neuronal level is not known. Here we conducted in vivo single unit extracellular electrophysiology in the auditory cortex of urethane/xylazine-anesthetized Fmr1 KO mice in response to tones and frequency modulated (FM) sweeps. Using tones as stimuli, we report expanded frequency tuning, enhanced response magnitude, and more variable first spike latencies in Fmr1 KO mice compared to wild-type controls. FM sweep stimuli revealed altered sensitivity to the rate of frequency change indicating abnormal spectrotemporal processing. There was no difference in FM sweep direction selectivity. Consistent with studies of the somatosensory cortex, these data point to hyper-responsiveness of auditory neurons as a key processing abnormality in FXS. Auditory neural responses can serve as outcome measures in preclinical trials of therapeutics for FXS as well as serve as physiological probes to study their mechanisms of action.          
21669931	Neural circuit architecture defects in a Drosophila model of Fragile X syndrome are alleviated by minocycline treatment and genetic removal of matrix metalloproteinase.          Fragile X syndrome (FXS), caused by loss of the fragile X mental retardation 1 (FMR1) product (FMRP), is the most common cause of inherited intellectual disability and autism spectrum disorders. FXS patients suffer multiple behavioral symptoms, including hyperactivity, disrupted circadian cycles, and learning and memory deficits. Recently, a study in the mouse FXS model showed that the tetracycline derivative minocycline effectively remediates the disease state via a proposed matrix metalloproteinase (MMP) inhibition mechanism. Here, we use the well-characterized Drosophila FXS model to assess the effects of minocycline treatment on multiple neural circuit morphological defects and to investigate the MMP hypothesis. We first treat Drosophila Fmr1 (dfmr1) null animals with minocycline to assay the effects on mutant synaptic architecture in three disparate locations: the neuromuscular junction (NMJ), clock neurons in the circadian activity circuit and Kenyon cells in the mushroom body learning and memory center. We find that minocycline effectively restores normal synaptic structure in all three circuits, promising therapeutic potential for FXS treatment. We next tested the MMP hypothesis by assaying the effects of overexpressing the sole Drosophila tissue inhibitor of MMP (TIMP) in dfmr1 null mutants. We find that TIMP overexpression effectively prevents defects in the NMJ synaptic architecture in dfmr1 mutants. Moreover, co-removal of dfmr1 similarly rescues TIMP overexpression phenotypes, including cellular tracheal defects and lethality. To further test the MMP hypothesis, we generated dfmr1;mmp1 double null mutants. Null mmp1 mutants are 100% lethal and display cellular tracheal defects, but co-removal of dfmr1 allows adult viability and prevents tracheal defects. Conversely, co-removal of mmp1 ameliorates the NMJ synaptic architecture defects in dfmr1 null mutants, despite the lack of detectable difference in MMP1 expression or gelatinase activity between the single dfmr1 mutants and controls. These results support minocycline as a promising potential FXS treatment and suggest that it might act via MMP inhibition. We conclude that FMRP and TIMP pathways interact in a reciprocal, bidirectional manner.        
21671049	Treatment effects of stimulant medication in young boys with fragile X syndrome.          Fragile X syndrome (FXS) is the most common inherited form of intellectual disability and is caused by a CGG repeat expansion at Xq27.3 on the FMR1 gene. The majority of young boys with FXS display poor attention and hyperactivity that is disproportionate to their cognitive disability, and approximately 70% meet diagnostic criteria for attention-deficit/hyperactivity disorder. Psychopharmacology is employed with 82% of young males 5-17 years of age, with stimulant medication as the most common medication prescribed. This study evaluated the effects of stimulant medication on the academic performance, attention, motor activity, and psychophysiological arousal of boys with FXS, as well as the concordance of effects within individuals. Participants in this study included 12 boys with FXS who were treated with stimulants. Participants completed videotaped academic testing on two consecutive days and were randomly assigned to be off stimulants for 1 day and on stimulants the other day. On each day, multiple measures including academic performance, behavior regulation, and psychophysiological arousal were collected. Approximately 75% of participants performed better on attention and academic measures, and 70% showed improved physiological regulation while on stimulant medication. A high degree of concordance among measures was found. Lower intelligence quotient (IQ), but not age, correlated with greater improvements in in-seat behavior. IQ and age did not relate to on-task behaviors. The frequency and magnitude of response to stimulant medication in boys with FXS is higher than those reported for most children with non-specific intellectual disabilities and autism spectrum disorder.        
30158855	Targeted Reactivation of         FMR1 Transcription in Fragile X Syndrome Embryonic Stem Cells. CRISPR-dCas9, Fragile X Syndrome, VP-192, human embryonic stem cells, nucleotide repeat expansion, transcriptional activation Fragile X Syndrome (FXS) is the most common inherited cause of intellectual disability and autism. It results from expansion of a CGG nucleotide repeat in the 5' untranslated region (UTR) of         FMR1. Large expansions elicit repeat and promoter hyper-methylation, heterochromatin formation, FMR1 transcriptional silencing and loss of the Fragile X protein, FMRP. Efforts aimed at correcting the sequelae resultant from FMRP loss have thus far proven insufficient, perhaps because of FMRP's pleiotropic functions. As the repeats do not disrupt the FMRP coding sequence, reactivation of endogenous FMR1 gene expression could correct the proximal event in FXS pathogenesis. Here we utilize the Clustered Regularly Interspaced Palindromic Repeats/deficient CRISPR associated protein 9 (CRISPR/dCas9) system to selectively re-activate transcription from the silenced FMR1 locus. Fusion of the transcriptional activator VP192 to dCas9 robustly enhances FMR1 transcription and increases FMRP levels when targeted directly to the CGG repeat in human cells. Using a previously uncharacterized FXS human embryonic stem cell (hESC) line which acquires transcriptional silencing with serial passaging, we achieved locus-specific transcriptional re-activation of FMR1 messenger RNA (mRNA) expression despite promoter and repeat methylation. However, these changes at the transcript level were not coupled with a significant elevation in FMRP protein expression in FXS cells. These studies demonstrate that directing a transcriptional activator to CGG repeats is sufficient to selectively reactivate FMR1 mRNA expression in Fragile X patient stem cells.
30176067	Quantitative proteomics of forebrain subcellular fractions in fragile X mental retardation 1 knockout mice following acute treatment with 2-Methyl-6-(phenylethynyl)pyridine: Relevance to developmental study of schizophrenia.         FMRP, FXS, MPEP, autism, brain, mGluR5, schizophrenia The fragile X mental retardation 1 knockout (Fmr1 KO) mouse replicates behavioral deficits associated with autism, fragile X syndrome, and schizophrenia. Less is known whether protein expression changes are consistent with findings in subjects with schizophrenia. In the current study, we used liquid chromatography tandem mass spectrometry (LC-MS/MS) proteomics to determine the protein expression of four subcellular fractions in the forebrains of Fmr1 KO mice vs. C57BL/6 J mice and the effect of a negative allosteric modulator of mGluR5-2-Methyl-6-(phenylethynyl)pyridine (MPEP)-on protein expression. Strain- and treatment-specific differential expression of proteins was observed, many of which have previously been observed in the brains of subjects with schizophrenia. Western blotting verified the direction and magnitude of change for several proteins in different subcellular fractions as follows: neurofilament light protein (NEFL) and 2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) in the total homogenate; heterogeneous nuclear ribonucleoproteins C1/C2 (HNRNPC) and heterogeneous nuclear ribonucleoprotein D0 (HNRNPD) in the nuclear fraction; excitatory amino acid transporter 2 (EAAT2) and ras-related protein rab 3a (RAB3A) in the synaptic fraction; and ras-related protein rab 35 (RAB35) and neuromodulin (GAP43) in the rough endoplasmic reticulum fraction. Individuals with FXS do not display symptoms of schizophrenia. However, the biomarkers that have been identified suggest that the Fmr1 KO model could potentially be useful in the study of schizophrenia.          
21248685	TMS: using the theta-burst protocol to explore mechanism of plasticity in individuals with Fragile X syndrome and autism.          Fragile X Syndrome (FXS), also known as Martin-Bell Syndrome, is a genetic abnormality found on the X chromosome. Individuals suffering from FXS display abnormalities in the expression of FMR1--a protein required for typical, healthy neural development. Recent data has suggested that the loss of this protein can cause the cortex to be hyperexcitable thereby affecting overall patterns of neural plasticity. In addition, Fragile X shows a strong comorbidity with autism: in fact, 30% of children with FXS are diagnosed with autism, and 2-5% of autistic children suffer from FXS. Transcranial Magnetic Stimulation (a non-invasive neurostimulatory and neuromodulatory technique that can transiently or lastingly modulate cortical excitability via the application of localized magnetic field pulses) represents a unique method of exploring plasticity and the manifestations of FXS within affected individuals. More specifically, Theta-Burst Stimulation (TBS), a specific stimulatory protocol shown to modulate cortical plasticity for a duration up to 30 minutes after stimulation cessation in healthy populations, has already proven an efficacious tool in the exploration of abnormal plasticity. Recent studies have shown the effects of TBS last considerably longer in individuals on the autistic spectrum--up to 90 minutes. This extended effect-duration suggests an underlying abnormality in the brain's natural plasticity state in autistic individuals, similar to the hyperexcitability induced by Fragile X Syndrome. In this experiment, utilizing single-pulse motor-evoked potentials (MEPs) as our benchmark, we will explore the effects of both intermittent and continuous TBS on cortical plasticity in individuals suffering from FXS and individuals on the Autistic Spectrum.        
16998604	Fmr1 KO mice as a possible model of autistic features.          Autism is a pervasive developmental disorder appearing before the age of 3, where communication and social interactions are impaired. It also entails stereotypic behavior or restricted interests. Although this disorder was first described in 1943, little is still known about its etiology and that of related developmental disorders. Work with human patients has provided many data on neuropathological and cognitive symptoms, but our understanding of the functional defects at the cellular level and how they come about remains sketchy. To improve this situation, autism research is in need of valid animal models. However, despite a strong hereditary component, attempts to identify genes have generally failed, suggesting that many different genes are involved. As a high proportion of patients suffering from the Fragile X Syndrome show many autistic symptoms, a mouse model of this disorder could potentially also serve as a model for autism. The Fmr1 KO mouse is a valid model of the Fragile X Syndrome and many data on behavioral and sensory-motor characteristics of this model have been gathered. We present here an assessment of autistic features in this candidate model. We conclude that Fmr1 KO mice display several autistic-like features, but more work is needed to validate this model.        
29291238	Developmental Emergence of Phenotypes in the Auditory Brainstem Nuclei of         Fmr1 Knockout Mice. auditory, brainstem, fragile x, lateral superior olive, medial nucleus of the trapezoid body, ventral cochlear nucleus: Fragile X syndrome (FXS), the most common monogenic cause of autism, is often associated with hypersensitivity to sound. Several studies have shown abnormalities in the auditory brainstem in FXS; however, the emergence of these auditory phenotypes during development has not been described. Here, we investigated the development of phenotypes in FXS model [        Fmr1 knockout (KO)] mice in the ventral cochlear nucleus (VCN), medial nucleus of the trapezoid body (MNTB), and lateral superior olive (LSO). We studied features of the brainstem known to be altered in FXS or Fmr1 KO mice, including cell size and expression of markers for excitatory (VGLUT) and inhibitory (VGAT) synapses. We found that cell size was reduced in the nuclei with different time courses. VCN cell size is normal until after hearing onset, while MNTB and LSO show decreases earlier. VGAT expression was elevated relative to VGLUT in the Fmr1 KO mouse MNTB by P6, before hearing onset. Because glial cells influence development and are altered in FXS, we investigated their emergence in the developing Fmr1 KO brainstem. The number of microglia developed normally in all three nuclei in Fmr1 KO mice, but we found elevated numbers of astrocytes in Fmr1 KO in VCN and LSO at P14. The results indicate that some phenotypes are evident before spontaneous or auditory activity, while others emerge later, and suggest that Fmr1 acts at multiple sites and time points in auditory system development.
